      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         127.12              3         205.41
         317.80              5         374.57
          21.19              1         224.01
          21.19              1         217.86
         127.12              3         314.18
          63.56              2         328.38
          63.56              2         537.31
          63.56              2         489.16
         127.12              3         393.05
         317.80              5         232.42
         317.80              5         207.24
         211.87              4         131.50
         211.87              4         374.39
         211.87              4         513.33
          21.19              1         450.87
         211.87              4         214.96
         317.80              5         163.36
          63.56              2         319.11
         211.87              4         168.35
         127.12              3         189.15
          63.56              2         181.83
          63.56              2         393.31
         127.12              3         487.73
          63.56              2         213.06
          63.56              2         397.80
          63.56              2         300.88
         127.12              3         181.68
         127.12              3         432.29
         317.80              5         212.36
         127.12              3         328.96
         317.80              5         151.38
         127.12              3         486.35
         127.12              3         274.55
         317.80              5         181.97
         317.80              5         494.98
         211.87              4         310.28
         444.92              6         240.75
         127.12              3         501.93
          63.56              2         241.51
         317.80              5         215.95
         317.80              5         221.01
         593.23              7         121.89
         127.12              3         151.70
         127.12              3         251.40
         317.80              5         171.27
          21.19              1         345.26
           0.00              0         385.13
         211.87              4         405.41
         127.12              3          72.81
         317.80              5         189.85
         211.87              4         191.67
         317.80              5         108.60
          21.19              1         410.02
         317.80              5         253.16
         317.80              5         407.42
          63.56              2         223.27
         444.92              6         133.86
         127.12              3         165.70
         317.80              5         338.72
         127.12              3         396.27
          63.56              2         434.88
          63.56              2         266.95
         317.80              5         288.73
         444.92              6         162.07
          63.56              2         267.06
          21.19              1         471.69
         127.12              3         180.99
         317.80              5         137.45
         593.23              7          98.74
         211.87              4         354.02
          63.56              2         395.69
          21.19              1         445.38
         127.12              3         520.45
          63.56              2         518.46
         127.12              3         263.20
          21.19              1         408.40
          63.56              2         328.02
           0.00              0         205.34
          63.56              2         103.20
         127.12              3         294.10
         211.87              4         153.01
          63.56              2         371.67
          21.19              1         179.99
          63.56              2         217.10
          63.56              2         403.73
         127.12              3         253.92
          63.56              2         318.60
          63.56              2         259.70
         593.23              7         158.77
           0.00              0         177.19
         593.23              7         169.46
         317.80              5         472.00
          63.56              2         204.74
         127.12              3         204.90
          63.56              2         149.95
         127.12              3         402.56
         211.87              4         371.38
         211.87              4         211.67
          21.19              1         239.42
