      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         211.87              4         149.80
         211.87              4         219.44
         211.87              4         370.29
         211.87              4         109.94
         211.87              4         379.29
         211.87              4         294.11
         211.87              4         178.96
         211.87              4         228.86
         211.87              4         239.02
         211.87              4         275.89
         211.87              4         174.21
         211.87              4         121.81
         211.87              4         559.50
         211.87              4         261.77
         211.87              4         442.96
         211.87              4         207.52
         211.87              4         304.94
         211.87              4         349.80
         211.87              4         500.53
         211.87              4         267.18
         211.87              4         353.79
         211.87              4         345.35
         211.87              4         220.32
         211.87              4         262.24
         211.87              4         483.55
         211.87              4         274.45
         211.87              4         430.04
         211.87              4          52.40
         211.87              4         198.16
         211.87              4         179.53
         211.87              4         165.41
         211.87              4         165.12
         211.87              4         145.64
         211.87              4         271.09
         211.87              4         447.48
         211.87              4         484.38
         211.87              4         220.36
         211.87              4         347.58
         211.87              4         328.47
         211.87              4         140.22
         211.87              4         259.59
         211.87              4         238.05
         211.87              4         363.30
         211.87              4         189.07
         211.87              4         197.21
         211.87              4         436.01
         211.87              4         151.94
         211.87              4         265.95
         211.87              4         316.64
         211.87              4         237.59
         211.87              4         557.37
         211.87              4         452.33
         211.87              4         271.63
         211.87              4         321.06
         211.87              4         424.54
         211.87              4         456.96
         211.87              4         103.12
         211.87              4         191.96
         211.87              4         284.88
         211.87              4         236.26
