      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         368.15              4         410.16
         133.95              2         565.00
          81.75              2         249.54
         158.59              2         367.44
          68.90              2         560.01
         521.54              4         250.11
         403.61              5         242.66
         336.14              6         232.43
         459.36              5         227.86
          99.10              3         248.52
         220.48              4         282.95
          24.97              1         298.74
         182.68              3         489.20
         195.34              4         565.93
          99.32              2         420.60
         205.98              3         345.24
         116.91              2         273.04
         146.06              3         220.33
         241.94              4         445.40
         216.91              3         418.82
          49.30              2         162.82
         301.94              5         495.56
         373.79              5         360.88
         415.44              6          95.55
         309.31              4         154.97
         144.51              3         434.46
          98.35              2         495.65
         192.00              4         595.01
          98.26              3         465.24
         211.53              3         426.45
         376.07              6         264.94
         393.26              4         185.55
         187.00              3         501.69
         260.07              3         518.03
         137.16              2         556.86
         200.07              4         266.10
          90.32              2         420.66
         171.39              2         398.25
          26.79              1         569.14
         190.41              4         411.99
          49.66              1         338.79
         186.36              3         171.05
         139.47              3         414.48
         301.28              5         323.75
          81.12              2         527.77
         219.87              4         352.02
         242.75              4         443.96
          52.45              2         561.88
         167.46              3         589.66
         247.42              4         578.14
         143.00              3         286.44
         364.61              4         388.78
         177.03              2         479.72
         226.23              4         433.64
         293.91              4         505.05
          17.16              1         641.85
          93.40              2         217.63
         115.40              2         436.11
         601.12              7         108.69
          18.24              1         514.99
         335.60              4         311.56
          47.01              2         281.71
         174.04              2         304.19
          87.08              3         289.21
         144.06              3         348.36
         302.89              5         152.42
          99.53              2         230.74
         177.52              3         360.31
          72.40              2         685.76
          72.07              2         217.48
         144.73              2         370.34
         426.00              5         348.87
         141.71              3         398.47
         216.67              4         377.98
         166.11              3         542.90
         146.00              3         255.38
         131.93              3         280.57
         188.06              4         552.97
         385.54              4         468.51
          65.56              2         355.81
         222.55              4         597.96
         217.22              3         249.04
         180.61              3         284.79
         109.40              2         555.55
         153.58              3         221.91
          71.15              2         583.06
         252.45              4         309.16
         193.95              3         215.61
         554.66              5         304.15
         232.91              4         445.27
         354.34              3         168.79
         302.46              5         215.23
         295.26              5         513.03
          13.03              1         358.62
         375.45              4         459.37
         278.23              4         273.19
         167.84              3         382.91
          28.46              1         406.99
          22.42              1         676.92
          34.47              1         418.98
         291.29              4         553.65
          32.43              1         338.91
         276.72              4         137.77
         460.63              6         277.12
          33.86              1         598.92
          67.85              2         181.87
         365.10              3         213.66
         317.03              5         454.77
          84.59              3         267.43
         224.16              4         558.27
         167.65              3         488.10
         464.68              7         232.20
         147.67              3         156.02
         340.64              5         245.23
         137.13              3         256.70
         123.83              2         228.26
         272.31              4         124.40
         247.57              3         467.91
          75.48              2         282.80
         129.70              2         465.73
         184.63              4         389.58
         256.47              4         243.56
         287.67              4         293.39
         218.05              3         491.69
          11.54              1         459.55
         332.30              4         240.78
         271.99              4         145.25
         413.36              6         320.66
          42.02              1         328.05
          59.23              2         673.53
         384.98              4         393.46
         329.47              5         109.23
         336.38              4         448.35
         422.23              4         362.16
          71.67              2         253.97
         136.13              3         669.84
          95.82              2         672.34
         396.89              5         435.16
          77.47              2         418.55
         457.73              5         352.50
         327.51              5         355.39
         123.97              3         585.90
          50.83              1         432.29
         253.64              4         485.06
          68.37              1         532.47
         106.20              2         416.65
         109.29              2         506.39
         168.82              3         354.60
         404.54              4         408.63
         483.05              5         177.45
          76.70              1         484.42
          71.88              3         605.87
         297.21              4         180.15
         276.14              5         346.39
         117.77              3         393.13
         449.25              6         189.63
         131.34              4         357.04
         210.33              3         164.12
         311.33              5         356.16
          13.05              1         361.05
         104.84              3         316.04
         193.69              3         423.01
         535.10              7         169.72
         161.56              3         227.17
         191.15              3         185.98
         227.08              3         583.04
         287.88              5         388.51
         384.54              4         319.07
         202.60              3         280.94
         475.67              5         165.89
         142.66              2         293.04
           5.96              0         230.34
         312.67              3         378.86
         196.96              4         418.41
         315.63              3         398.48
         299.43              4         334.69
         294.66              4         460.29
          51.10              2         697.57
         261.85              5         244.69
         253.70              3         209.55
         225.70              3         608.85
         176.43              4         278.99
          41.54              1         490.30
         159.45              3         566.48
         152.41              2         339.16
          50.08              1         665.28
         274.42              4         489.37
         310.76              5         153.91
          64.48              1         476.08
          39.33              1         363.27
         298.53              4         323.20
         180.36              4         216.35
         415.76              5         337.20
         110.19              2         470.88
         355.88              3         438.47
         297.87              4         447.02
         268.76              3         326.38
          21.37              1         429.21
         329.82              3         263.90
         409.24              4         363.76
         351.45              5         334.96
         218.92              4         250.32
          56.83              2         223.24
          83.18              1         140.75
         397.19              6         253.52
         315.89              5         260.85
         273.78              5         516.11
         325.22              5         359.83
         142.19              3         452.80
         158.31              3         406.06
         250.59              4         257.46
         213.93              4         568.01
         116.05              3         476.11
         279.22              4         527.78
         230.24              3         305.90
         292.05              4         219.02
         211.44              3         463.19
         141.54              2         271.26
         243.79              4         430.98
          40.57              1         449.57
          97.73              3         626.38
         105.25              2         190.24
          53.97              1         673.50
         177.43              3         321.36
          41.25              1         374.49
         415.94              4         442.19
         144.70              2         408.49
         116.63              2         432.48
         236.86              3         432.50
         155.63              3         508.72
          63.47              2         308.89
         201.84              3         218.94
         168.77              3         504.63
         336.27              3         437.67
         130.48              3         243.08
         134.57              3         464.89
         169.63              3         200.29
         155.35              3         369.06
          87.64              2         175.25
         192.21              4         450.52
         157.03              2         212.13
         407.60              5         298.15
         126.78              2         270.32
          91.00              3         122.93
         203.32              3         336.66
          65.89              2         494.11
          49.63              2         476.98
         214.82              3         456.06
         132.66              3          72.87
         273.77              5         340.57
         338.71              6         342.46
          36.52              1         672.87
         322.57              5         475.96
         144.16              3         157.95
         354.25              5         335.85
          49.30              1         533.38
         265.74              4         291.34
         117.88              3         236.23
         108.06              2         494.70
         396.40              6         300.21
         384.35              6         317.65
         395.83              6         313.70
          34.85              1         596.39
         268.65              4         267.80
         111.63              2         628.21
          93.22              2         426.61
         108.25              3         537.67
         136.34              2         358.19
         218.99              4         264.66
          37.22              1         402.22
          92.31              2         511.63
         183.13              3         513.58
         143.47              3         348.22
         188.25              3          92.87
         243.89              4         331.41
         219.70              3         278.27
         316.14              5         262.54
         323.50              5         333.68
         178.68              3         468.66
         138.12              2         264.28
         160.75              1         412.62
         229.11              3         344.45
         237.08              3         314.00
         124.46              3         362.34
         186.27              4         483.37
         230.45              4         592.44
         310.70              4         421.41
         400.17              5         136.98
          54.36              2         329.04
         417.76              6         200.23
         161.92              3         394.87
         164.41              3         227.81
         178.57              3         384.04
         344.59              5         378.03
         151.01              3         486.40
         369.27              4         239.95
         248.31              3         508.49
          23.95              1         395.25
         110.82              2         321.16
         137.06              3         386.68
         212.31              4         154.17
          92.44              2         483.51
         401.42              5         145.57
          58.59              2         593.87
         227.44              4         391.02
         166.82              3         170.28
          94.68              2         400.67
         314.84              5         554.16
          50.90              1         311.75
          65.26              2         546.16
         242.05              3         359.09
         303.84              5         181.47
          74.06              2         449.93
         158.89              2         279.63
         126.93              2         474.36
          53.74              1         185.86
         386.01              6         262.55
          98.53              3         449.77
         128.55              3         454.42
         308.98              3         298.50
         192.44              4         458.91
          77.86              2         340.53
          63.98              2         665.26
         285.03              4         198.99
          73.16              1         596.23
         282.48              4         411.13
         394.14              5         247.51
          14.06              1         322.63
         338.21              5         499.38
         251.15              4         226.19
          61.67              2         520.41
         195.74              4         509.59
         117.31              3         476.18
         239.50              3         470.40
          92.47              2         352.00
         189.42              3         565.16
         146.60              3         361.75
          61.40              2         509.99
         350.55              4         187.81
          29.74              1         577.98
         471.91              5         302.98
         159.74              4         332.77
           7.43              0         554.83
         141.83              2          96.67
         337.06              5         440.11
         506.61              7         210.50
         109.10              2         517.93
         158.89              3         359.74
         205.26              4         279.34
         379.57              5         435.38
          61.56              2         394.97
          94.64              2         630.76
         366.36              6         305.56
         228.45              3         250.02
         258.87              3         206.34
         419.00              3         241.26
         144.55              3         387.07
         321.11              5         485.13
         330.39              3         122.02
         229.42              5         428.81
          70.56              1         227.42
         315.85              4         324.63
         248.81              4         543.82
          91.87              2         488.02
         199.76              4         216.27
         304.39              4         204.27
          59.05              1         317.21
         163.11              3         276.93
          33.19              1         491.44
         228.86              4         430.45
          14.15              0         258.14
          55.08              2         565.80
         160.43              2         197.48
          89.34              3         540.78
         246.26              4         416.14
         558.91              5         170.65
         324.80              4         231.06
          27.57              1         215.11
         436.85              6         254.55
         294.01              4         545.49
          71.84              2         325.14
         157.18              3         262.40
         304.54              5         237.27
          78.24              2         585.22
          74.79              2         451.79
          14.61              1         311.39
         251.82              4         375.09
         192.40              4         309.25
         479.48              6          85.64
          75.03              2         667.68
          65.41              2         406.36
         445.46              6         335.90
         308.13              4         119.80
         141.95              3         623.91
         332.13              4         302.20
         576.69              6         173.32
         114.25              3         329.81
         192.93              3         394.83
         107.76              3         657.38
         197.35              4         169.21
         114.00              2         255.89
         158.92              3         386.60
         232.61              4         437.39
         117.06              3         536.16
          90.06              2          87.48
           3.92              0         200.74
          85.57              3         252.61
         173.88              3         347.01
          80.74              1         477.95
         148.14              3         487.93
         406.48              4          33.32
         376.70              5         268.18
          32.42              1         207.01
         196.05              4         425.86
         189.87              3         413.97
         199.51              3         508.11
           6.50              0         218.19
         171.74              3         458.63
         122.69              3         350.44
         254.77              3         320.32
          59.39              2         282.97
          85.77              2         579.31
          62.46              2         166.04
         171.64              3         367.67
         128.19              3         339.45
         111.69              2         298.15
         129.25              3         324.91
          51.15              1         271.94
          31.94              1         539.00
         146.84              2         383.10
         147.73              2         372.36
          56.49              2         414.68
          89.10              2         459.75
          99.05              2         191.61
          89.50              2         428.46
         144.43              2         643.05
         158.25              4         568.38
         243.11              4         278.09
         174.85              2         652.38
         224.37              2         224.41
          75.82              2         396.82
         148.50              4         328.90
         281.73              5         454.65
         377.87              5         152.87
         274.16              3         283.79
          30.81              1         133.09
         218.27              3         215.11
         132.82              3         407.95
         200.10              4         293.21
          47.70              2         328.59
         182.29              4         169.62
         203.90              4         302.00
         154.50              3         350.64
         137.76              3         270.00
         230.18              2         290.19
         292.13              5         271.99
          54.18              2         530.79
         337.56              4         407.29
         125.82              3         581.12
         196.42              3         424.97
         168.55              3         671.41
         201.40              4         358.16
         366.95              5         179.40
          48.77              1         335.61
         228.01              4         393.90
          73.64              1         400.33
         333.73              6         328.68
         105.80              2         507.12
         114.56              3         591.68
         143.72              3         420.81
         136.20              2         582.12
         120.46              2         358.50
          61.56              2         531.00
          96.60              2         580.49
          73.43              2         390.17
          96.56              2         300.27
         121.19              2         429.78
         540.43              7         256.07
         368.39              3         204.76
         243.91              4         316.84
         124.47              3         229.98
         177.87              4         451.96
         535.76              5         215.19
         296.94              3         240.52
         179.78              4         245.59
         287.52              3         343.77
         215.70              4         421.37
          76.33              2         334.19
         116.58              2         367.86
         404.99              5         459.15
         323.62              4         444.16
         112.42              2         248.35
          49.97              1         379.95
         385.57              4         374.56
         217.05              2         409.55
          53.69              2         548.43
         116.86              3         486.26
          33.45              1         386.80
         583.16              4         153.36
          96.18              2         513.84
         334.27              5         258.21
         162.43              2         576.50
         249.10              5         532.75
         172.72              4         450.53
         284.92              4         450.36
         181.04              4         465.76
          64.40              1         242.17
         104.23              2         434.08
         337.21              4         352.12
         153.01              3         279.32
         169.68              3         571.16
         376.89              5         145.31
          82.35              2         327.30
         101.99              2         384.53
         368.36              5         376.83
         213.27              3         611.72
          52.68              1         164.53
         300.76              4         473.37
         376.76              5         354.28
         307.19              5         275.23
          38.11              1         710.39
         381.21              5         310.31
         550.04              6         237.91
         207.59              4         272.53
         404.56              4         452.38
          41.63              1         438.81
         218.25              5         183.37
         145.50              3         233.46
         160.55              3         418.50
         451.89              4         186.27
          74.25              2         501.71
         243.88              4         200.62
         168.58              4         380.95
         115.94              3         283.84
         196.76              3         335.81
         136.65              2         216.54
          61.58              2         275.63
         305.84              5         181.22
         147.71              3         249.70
         285.83              5         324.09
         453.03              6         332.53
         125.49              3         578.79
         214.16              4         482.33
         145.23              3         226.60
         108.86              2         307.19
         518.66              7         201.53
          93.90              2         390.07
         186.97              3         208.63
         317.22              5         187.94
         174.69              3         183.98
         160.52              3         290.43
          21.73              1         283.72
         120.16              2         461.83
         226.90              4         276.67
         281.79              4         240.95
          93.12              2         352.60
         153.43              2         200.82
         206.04              4         255.03
         163.47              3         598.75
         218.59              4         407.70
         131.71              3         286.68
          53.51              1         376.37
         188.63              4         230.43
         162.55              3         459.56
         317.75              5         492.38
          88.49              3         312.73
         206.84              3         294.22
         205.92              3         184.02
          89.36              2         510.74
         225.37              4         409.48
         231.72              4          95.19
         201.62              4         311.00
         106.13              2         355.50
         356.60              5         398.18
         222.02              4         463.66
         143.40              3         315.48
         127.19              3         469.22
         234.65              4         329.12
         287.57              3         254.84
         338.91              4         243.12
         125.14              2         203.54
         185.98              3         107.56
          98.80              2         362.28
         181.44              3         212.60
         163.33              3         476.32
         158.33              2         543.45
         348.00              4         343.38
         157.82              3         317.40
          13.85              1         557.02
         271.25              3         163.08
         141.67              3         264.65
         216.87              4         309.21
          89.30              2         543.74
          41.24              2         372.03
         223.27              3         257.86
         108.93              3         252.59
          77.75              2         311.56
         238.18              3         274.14
          63.37              1         495.43
         377.37              5         256.27
          76.86              2         595.62
          81.77              2         405.04
         542.70              7         173.22
         215.97              4         450.84
         252.71              4         291.74
         261.64              4         481.49
         149.77              2         340.19
          12.46              0         401.96
         448.43              6         257.45
          55.12              2         448.28
         220.78              4         612.53
         134.23              2         257.15
         189.41              3         495.92
         424.24              5         196.77
         187.03              2         349.91
          45.25              1         534.63
         135.31              3         441.56
         229.59              3         189.68
         165.85              2         257.16
          74.33              2         119.48
         165.04              2         173.32
         101.70              3         338.12
          83.58              2         397.46
         464.50              6         262.60
         286.83              5         334.48
         124.29              2         415.40
          94.24              1         478.01
