    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         372.42              5         583.02
         415.44              6          95.55
         527.87              4         596.76
          98.35              2         495.65
         192.00              4         595.01
         393.26              4         185.55
         621.06              5         467.51
         260.07              3         518.03
         477.38              6         547.79
         200.07              4         266.10
          90.32              2         420.66
         171.39              2         398.25
         190.41              4         411.99
         139.47              3         414.48
         186.39              4         636.57
          81.12              2         527.77
         219.87              4         352.02
         242.75              4         443.96
          52.45              2         561.88
         278.51              5         525.47
         134.02              3         781.56
         233.09              2        1061.32
         167.46              3         589.66
         247.42              4         578.14
         302.90              5         604.11
         160.84              3         699.88
         119.67              3         821.07
         143.00              3         286.44
         320.53              4         436.72
         226.23              4         433.64
         293.91              4         505.05
          17.16              1         641.85
         145.38              3         638.48
         601.12              7         108.69
         594.33              6         353.03
          87.08              3         289.21
        1051.71              5        1089.81
         302.89              5         152.42
         177.52              3         360.31
          72.40              2         685.76
         535.02              7         717.88
          72.07              2         217.48
         281.24              4         851.90
        1244.10             10         452.83
         480.69              4        1152.58
         318.30              5         658.15
         131.93              3         280.57
         423.45              5         679.60
         188.06              4         552.97
          65.56              2         355.81
         212.30              4         457.90
         217.22              3         249.04
         382.19              5         502.37
         180.61              3         284.79
         522.43              6         622.76
         109.40              2         555.55
         153.58              3         221.91
         758.32              8         473.80
          71.15              2         583.06
         336.83              6         523.79
         506.97              6         390.22
         575.77              6         630.71
         252.45              4         309.16
         193.95              3         215.61
         354.34              3         168.79
          90.94              2         697.25
         302.46              5         215.23
         371.86              5         674.36
         666.63              7         459.72
         949.93              9         933.07
          13.03              1         358.62
         278.23              4         273.19
         167.84              3         382.91
         110.11              3        1059.34
         811.30              7         802.31
          34.47              1         418.98
         291.29              4         553.65
          32.43              1         338.91
         602.92              6         519.55
         276.72              4         137.77
         167.65              3         488.10
         754.71              9         372.03
         109.12              2         944.65
         608.98              7         445.23
         792.89              5         608.56
         923.88              6         596.27
         147.67              3         156.02
         340.64              5         245.23
         247.57              3         467.91
          75.48              2         282.80
         129.70              2         465.73
         887.82             10         358.50
         113.34              2        1042.02
        1171.01              9         910.81
         287.67              4         293.39
        1360.98              9         418.06
         507.68              3         253.39
         218.05              3         491.69
         271.99              4         145.25
         389.42              6         409.72
          42.02              1         328.05
         448.57              6         755.79
        1285.71             11         525.72
         214.29              4         675.49
         656.49              6         957.99
         384.98              4         393.46
         926.80              7         172.45
        1123.40             10         397.19
         544.22              5         572.52
         565.94              4         709.10
          71.67              2         253.97
         706.88              8         897.10
         136.13              3         669.84
          95.82              2         672.34
         151.25              3         466.78
         463.67              5         579.25
          77.47              2         418.55
         327.51              5         355.39
          50.83              1         432.29
        1306.74              8         324.35
         583.96              7         263.74
         183.27              4         805.57
         430.53              4         277.60
         676.23              6         814.74
          68.37              1         532.47
         538.85              5         687.35
         168.82              3         354.60
         170.43              2         567.44
         483.05              5         177.45
         692.85              4         112.39
          76.70              1         484.42
          71.88              3         605.87
         601.87              4         868.70
         325.42              4         388.42
         905.61              5         514.55
         473.11              6         916.14
         449.25              6         189.63
         131.34              4         357.04
          13.05              1         361.05
         146.90              3         544.82
         104.84              3         316.04
         161.56              3         227.17
         191.15              3         185.98
         227.08              3         583.04
         916.92              9         402.65
         244.90              5         420.36
         475.67              5         165.89
         142.66              2         293.04
           5.96              0         230.34
         312.67              3         378.86
         362.23              4         944.47
         485.79              6         396.00
         222.86              4         935.40
         622.84              7         323.79
         980.77              8         205.66
         261.85              5         244.69
         253.70              3         209.55
         593.47              7         331.86
         225.70              3         608.85
          41.54              1         490.30
         159.45              3         566.48
        1598.87              8         236.55
         266.69              3         637.66
         639.29              3         617.71
         312.94              4         380.18
         396.95              6         813.63
         406.21              5         647.18
          90.76              2         703.02
         180.36              4         216.35
          21.37              1         429.21
         489.87              7         203.80
         300.83              5         922.55
         329.82              3         263.90
         161.64              3         644.53
         351.45              5         334.96
         218.92              4         250.32
         330.90              4         609.49
         271.21              3         624.02
         712.55              7         322.00
         157.04              3         728.19
        1003.53              7         452.66
         738.66              7         200.37
         273.78              5         516.11
         159.08              4         984.91
         213.93              4         568.01
         516.45              7         745.14
         386.94              6         522.51
         313.74              5         465.78
         606.33              7         489.87
         340.39              5         563.22
         317.31              4         516.83
          82.95              2         856.67
         170.31              3         656.66
         483.82              6         249.74
          97.73              3         626.38
          53.97              1         673.50
         352.70              5         769.62
          41.25              1         374.49
         443.54              6         506.19
         415.94              4         442.19
        1017.15              8         345.61
         236.86              3         432.50
         735.91              9         634.85
         155.63              3         508.72
         134.57              3         464.89
         615.78              6         440.01
         222.30              4         805.35
         192.21              4         450.52
         433.43              4         400.50
         157.03              2         212.13
         270.13              4         518.02
         413.17              6         436.47
          91.00              3         122.93
         984.48              8         426.30
        1725.27              9         577.35
         264.21              3         507.95
         710.42              8         547.01
         203.32              3         336.66
         123.12              3         489.07
         413.16              3         652.49
         804.37              9         733.40
         214.82              3         456.06
         132.66              3          72.87
         338.71              6         342.46
         354.25              5         335.85
          49.30              1         533.38
         109.24              2         416.78
         117.88              3         236.23
         989.84              9         414.43
         150.22              3         827.50
          60.26              2         448.99
         741.93              8         446.61
         143.22              2         668.28
         108.06              2         494.70
         396.40              6         300.21
         794.95              7         677.53
         969.09              5         490.12
         230.55              5         428.33
         226.08              4         715.91
         268.65              4         267.80
         108.25              3         537.67
         136.34              2         358.19
         218.99              4         264.66
        1384.90             10         174.71
          37.22              1         402.22
         343.94              4         639.86
         505.12              6         217.02
         765.03              7         397.22
         243.89              4         331.41
         316.14              5         262.54
         369.06              5         672.87
         779.78              5         488.27
         250.53              4         520.12
         180.08              3         594.43
         229.11              3         344.45
         237.08              3         314.00
         214.04              4         325.31
         876.83              8         400.60
        1307.18              9         306.59
         960.62              7         439.22
         742.98              6         165.27
         186.27              4         483.37
         230.45              4         592.44
         229.08              4         489.37
         251.26              3         579.20
         400.66              7         373.73
         305.92              5         800.06
         310.70              4         421.41
         842.95              6         562.54
         250.86              4         802.89
         802.86              8         238.73
         417.76              6         200.23
         161.92              3         394.87
         164.41              3         227.81
         515.99              7         712.75
         418.64              5         432.37
         199.55              3         776.61
         138.91              3         619.04
         202.94              3        1023.59
         969.59              7         303.66
          98.76              1         729.24
         588.51              4         636.49
         593.38              5         376.65
         716.04              7         309.38
         389.67              6         341.04
         212.31              4         154.17
          92.44              2         483.51
         384.21              4         457.69
         401.42              5         145.57
         711.42              6         383.66
         835.19              7         430.33
         505.42              5         364.84
         166.82              3         170.28
          94.68              2         400.67
          65.26              2         546.16
         179.24              3         588.83
         280.76              3         300.60
         478.29              5         688.96
        1493.04             10         312.44
         230.22              3         899.47
         158.89              2         279.63
          53.74              1         185.86
         599.41              5         671.00
         432.50              6         540.22
         356.78              3         398.12
          63.98              2         665.26
         337.48              4         331.84
         683.49              8         848.94
         285.03              4         198.99
         413.30              4         506.92
         251.15              4         226.19
         117.31              3         476.18
         244.50              4         786.38
         588.72              4         741.45
         189.42              3         565.16
          29.74              1         577.98
         471.91              5         302.98
         159.74              4         332.77
         678.45              5         406.88
           7.43              0         554.83
         141.83              2          96.67
         788.58              6         644.67
         381.33              5         524.36
         158.89              3         359.74
         532.18              5         371.79
         129.34              2         821.94
         774.88              8         667.59
         257.76              4         393.81
          61.56              2         394.97
         366.36              6         305.56
          91.55              2         624.81
         583.66              6         431.45
         165.26              3         672.23
         649.69              6         753.66
          70.56              1         227.42
         315.85              4         324.63
         469.47              5         348.25
          91.87              2         488.02
         679.37              8         592.69
         304.39              4         204.27
          59.05              1         317.21
         313.72              4         393.89
         585.62              5         342.23
         160.43              2         197.48
         663.43              8         496.93
         883.76              7         560.41
         246.26              4         416.14
         496.20              7         924.90
          27.57              1         215.11
         307.40              4         665.30
         294.01              4         545.49
          71.84              2         325.14
        1096.10              9         846.79
         913.92              8         232.51
         272.12              4         842.05
         464.98              4         330.72
         432.03              5         446.53
         361.39              4         816.05
         853.63              5         677.58
         251.82              4         375.09
         915.33              8         343.53
         528.53              6         360.68
         253.64              4         775.37
         199.93              3         354.66
         892.51              8         655.25
         394.81              5         859.93
          65.41              2         406.36
         959.45              9         658.47
         963.34              8         834.00
         445.46              6         335.90
         151.98              4         878.62
         794.71              9         318.90
         141.95              3         623.91
         332.13              4         302.20
         576.69              6         173.32
         606.32              6         201.78
         183.05              3         567.48
         114.00              2         255.89
         179.45              3         605.82
         232.61              4         437.39
          53.73              2         480.74
         234.19              4         792.24
         567.80              7         357.39
         173.88              3         347.01
         197.01              3         685.32
         148.14              3         487.93
         361.81              4         683.81
         376.70              5         268.18
          32.42              1         207.01
         251.87              3         581.05
         329.53              4         596.24
          71.89              2         817.68
          98.67              1         699.01
          73.07              2         641.77
         433.71              5         706.21
         199.34              3         562.52
         254.77              3         320.32
         465.73              6         375.09
         650.14              4         432.18
         504.72              6         454.66
          62.46              2         166.04
         710.21              6         823.16
         452.64              5         822.62
         834.36              8         229.02
         237.49              3         701.25
         306.38              3         388.07
         146.84              2         383.10
         406.71              6         401.94
         147.73              2         372.36
         635.73              6         346.64
          56.49              2         414.68
         577.60              6         483.23
        1294.29             10         680.31
         158.25              4         568.38
          75.82              2         396.82
         148.50              4         328.90
         249.61              4         840.41
         281.73              5         454.65
        1072.26              8         547.98
         274.16              3         283.79
         508.30              7         417.47
         437.73              6         656.08
         478.57              5         278.74
         602.66              5         527.60
         218.27              3         215.11
         132.82              3         407.95
         343.46              5         462.34
          47.70              2         328.59
         623.18              7         755.42
         627.53              8         647.65
         182.29              4         169.62
          83.72              2         957.78
           1.96              0         672.19
         769.57              7         656.66
         230.18              2         290.19
         292.13              5         271.99
          54.18              2         530.79
         125.82              3         581.12
         196.42              3         424.97
         168.55              3         671.41
         284.20              4         456.89
         201.40              4         358.16
         366.95              5         179.40
         708.91              7         516.26
         333.73              6         328.68
        1512.25              8         512.84
          96.59              2         947.86
         109.04              3         776.29
