      -59.169107502567         0.265480747401D-09         10180.17
      -48.830140048733         0.232098084487D-06          7478.78
      -40.091847164899         0.271186009254D-04          5366.99
      -32.131562697592         0.932284008624D-03          3643.14
      -24.630408080225         0.128803115355D-01          2251.20
      -17.418045010475         0.838100413990D-01          1179.72
      -10.385159718669         0.280647458529D+00           438.30
       -3.451168774446         0.507929479017D+00            50.49
        3.451168774446         0.507929479017D+00            52.59
       10.385159718669         0.280647458529D+00           495.66
       17.418045010475         0.838100413990D-01          1450.85
       24.630408080225         0.128803115355D-01          3019.60
       32.131562697592         0.932284008624D-03          5353.12
       40.091847164898         0.271186009254D-04          8693.81
       48.830140048733         0.232098084487D-06         13482.12
       59.169107502567         0.265480747401D-09         20762.43

