 # Hard ZPE restriction,  Energy (cm-1), speed (m/s)
 #HCl ZPE (DMC): 1483.743446, WWW ZPE (DMC): 15602.536472
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) -E_COM,E_COM=0
 
     #Erot(HCl)     #Erot(WWW)     #Dvib(HCl)     #Dvib(WWW)             D0         #Speed             #J
          51.42          50.14         607.02         483.98        2357.37         309.70              2
          87.65          66.86         539.24         630.68        2225.55         202.20              3
          37.06          83.39         492.80         418.81        2517.89         381.17              1
          63.83          65.49          93.25         871.13        2456.24         360.41              2
         204.62         109.04         142.50         178.52        2915.29         559.50              4
         115.83          18.40         382.31         767.53        2265.90         216.96              3
          20.10          19.86         908.57         209.38        2392.04         314.24              1
         261.34           0.87         129.97         759.63        2398.15         312.98              5
         324.30          41.83         520.28         467.94        2195.60         150.88              5
          72.37         198.11          32.60         820.05        2426.84         318.43              2
         173.43          67.39         621.64          33.55        2653.95         448.66              4
         355.37           9.05         369.59         516.73        2299.22         261.59              6
          14.82         186.10         525.84         602.45        2220.75         191.46              1
          66.08          69.50         333.22         901.25        2179.91         110.93              2
         130.75          40.07         304.59         837.60        2236.97         191.63              3
         120.40          98.22         656.75          20.00        2654.59         449.26              3
          98.30          33.33         694.41         107.78        2616.13         444.16              3
          42.55         119.02         204.22         619.83        2564.34         406.20              2
          42.46          22.95        1025.24         156.49        2302.82         236.64              2
         145.15         387.29         507.26         230.23        2280.04         228.55              3
         362.92          28.14         142.14         737.82        2278.92         216.26              6
         150.69          13.22         182.08         979.43        2224.55         155.27              4
         339.67          62.85         173.79         721.20        2252.46         215.34              6
         150.75         305.61         172.54         700.58        2220.50         207.47              4
         123.06          58.07          15.41         984.32        2369.11         299.47              3
          39.05          46.80         505.24         704.52        2254.36         204.38              1
         110.61         108.04         175.20         650.49        2505.62         366.82              3
          91.07         682.81          84.06         354.19        2337.84         261.88              2
         260.75          26.46         336.90         542.35        2383.52         309.35              4
         670.06          62.87         419.69          33.13        2364.21         288.89              7
          53.34         611.26         465.33          77.90        2342.14         265.85              2
         131.61          14.33         316.73         708.15        2379.15         302.65              3
          74.88         232.86         145.82         766.21        2330.19         261.62              2
         252.57         224.69         294.74         448.27        2329.68         267.10              4
          50.35         476.54         581.31         220.81        2220.94         165.41              2
          68.51          17.94        1100.50         120.28        2242.72         161.59              2
         157.66          22.70         184.80         932.06        2252.77         185.71              3
           0.61         525.46         662.76          84.80        2276.33         243.67              0
          44.33          22.91         401.72         363.24        2717.75         475.89              1
         125.82          17.03          98.81         676.27        2632.01         436.69              3
         626.65           2.39         633.37          50.15        2237.40         185.55              8
           1.50         208.70         805.58         131.82        2402.34         322.53              0
          22.97         135.16         269.24         867.48        2255.13         203.11              1
          97.33         178.44         542.81         350.07        2381.30         290.89              3
         359.36         162.91         159.90         599.30        2268.50         215.62              6
           9.52         130.86          14.86         937.46        2457.26         352.09              1
          39.14          43.21         183.60        1018.93        2265.08         225.02              2
          83.37         167.32         112.65         773.94        2412.68         325.46              2
         608.29         135.43         222.29         120.24        2463.71         358.66              7
         246.50         307.06          15.61         739.57        2241.23         180.81              5
          39.34          84.10        1049.50          89.20        2287.81         233.85              1
         176.30          74.70         444.11         392.42        2462.42         349.98              4
         219.58         228.66         292.91          18.34        2790.48         500.24              4
          44.06          80.27         408.63         608.74        2408.26         298.61              2
         183.85          30.68          34.09         909.64        2391.68         303.48              4
         102.92         645.64          33.61         228.10        2539.68         397.46              3
         116.31          28.33          95.81         943.85        2365.66         295.96              3
         284.04         124.12         300.70         622.94        2218.15         180.25              5
           0.21         563.66         421.55         121.29        2443.25         339.10              0
           8.15         293.60         954.44          54.49        2239.29         186.64              0
          24.85          94.82         578.19         209.06        2643.02         447.37              1
         159.46         124.76          56.78         827.80        2381.17         298.68              3
         435.77         100.20         677.74         149.64        2186.61          96.56              7
         150.35         208.13         132.41         624.67        2434.41         345.78              4
          71.63         169.54         400.05         617.50        2291.23         249.25              2
           1.32          70.85           0.20        1166.40        2311.17         248.58              0
         823.55         158.58          33.52         173.50        2360.81         293.39              9
          13.93         252.13          19.05        1058.53        2206.34         144.65              1
         237.19          53.11         157.84         828.72        2273.10         220.60              4
         153.86          83.49         161.56         857.94        2293.13         262.04              4
         163.43         158.88          55.02         460.58        2712.06         483.81              4
         622.10          81.42         252.25         295.42        2298.77         245.19              7
         348.87         184.79         499.45         200.68        2316.15         245.48              5
         244.30           4.74           0.39        1040.37        2260.17         201.18              5
          15.23           6.89         801.13         320.01        2406.68         302.96              1
         350.22          28.94         906.10          11.19        2253.52         209.83              6
          55.25         252.15         393.19         593.70        2255.69         207.85              2
          23.98          78.67         666.78         489.16        2291.38         236.92              1
         411.36          96.32         147.51         572.86        2321.91         276.87              6
         426.72         131.14         281.38         248.83        2461.89         342.89              6
         106.67          73.03         837.70         297.32        2235.24         179.38              3
          63.59         292.95         175.25         410.16        2608.02         419.59              2
         182.82         145.19         185.00         402.77        2634.18         444.83              4
          27.71         441.63         219.35         189.07        2672.19         454.36              1
          89.46         170.62         388.63         698.94        2202.30         146.27              3
          64.14           8.38         492.96         775.85        2208.64         153.78              2
         115.50         113.75         574.88         227.82        2518.02         392.34              3
         188.23          27.05         509.06         470.56        2355.08         273.66              3
         150.64         209.71         457.49         503.63        2228.50         157.18              3
         184.88         425.29          29.75         481.03        2429.00         334.12              3
         251.37         101.01         141.97         827.19        2228.41         179.27              4
          42.66         128.75          49.81         682.16        2646.59         433.63              2
         378.66          44.46         658.40          53.77        2414.69         313.46              6
         421.06         181.75          65.13          88.83        2793.20         500.30              6
         262.63         111.73         340.88         567.36        2267.35         250.26              5
         567.79          78.04         142.23         192.59        2569.31         397.52              7
         509.39         269.68         133.98         344.97        2291.92         254.02              6
         428.40         139.58          39.32         466.31        2476.35         357.70              6
         447.16         326.42          40.85         505.30        2230.22         152.84              6
         372.44         328.29         258.82         216.19        2374.22         309.03              6
         209.75         222.00         520.57         378.01        2219.63         165.60              4
          42.85         130.59         199.26         780.87        2396.40         320.09              1
          78.94          80.08         301.13         871.26        2218.58         144.66              2
         332.25          20.69         158.36         143.11        2895.54         548.19              6
         151.42          37.12         359.12         760.63        2241.65         190.60              3
         228.72          28.17         901.45          89.37        2302.28         241.25              5
         621.87          13.31         146.67         535.62        2232.49         217.89              7
         302.18           6.53         136.99         878.39        2225.87         174.17              5
         247.39          11.71         150.80         918.54        2221.51         182.92              5
         100.02         238.77         542.58          47.68        2620.92         436.78              3
           1.58          23.08         766.95         237.49        2520.87         387.38              0
          11.20           1.09         490.78         832.34        2214.54         178.00              1
         381.10          54.38         332.49         215.41        2566.59         406.08              6
         426.79         144.49         197.68         353.48        2427.52         335.23              6
         111.75          77.83         515.91         627.55        2216.92         150.28              3
         197.30          21.01         158.96         958.21        2214.50         152.14              4
         450.09         169.84          28.26         226.00        2675.79         458.21              6
         532.40         105.44          38.84         580.32        2292.97         252.61              6
          35.19         219.23         249.04         461.63        2584.87         411.98              1
         114.47         202.00          97.70         921.46        2214.33         218.92              3
         318.23          76.71         442.57         489.38        2223.08         165.08              5
         283.03         131.64         371.82         425.35        2338.14         265.89              4
          57.02          83.59         591.77         412.01        2405.57         309.99              2
          23.66         253.97         240.10         688.53        2343.70         270.95              1
         552.78         228.86         341.70          17.90        2408.71         314.37              7
         128.62         133.10         687.37         295.99        2304.87         251.67              3
         359.63          62.08         667.07         241.19        2220.01         157.84              6
          99.19           3.65          99.70        1168.60        2178.83         103.75              3
         194.43          59.03         156.28         847.30        2292.92         237.69              4
         198.84          53.08         180.74         535.58        2581.73         411.22              4
         144.55          81.71         619.20         291.38        2413.11         321.16              4
         812.60         155.82         309.75          14.61        2257.19         181.45              8
          42.67         189.99         606.62         179.13        2531.55         383.82              1
         274.47          27.12         236.06         824.50        2187.80         100.92              5
          37.70         305.63          82.22         655.70        2468.71         345.60              1
         251.32          47.07         362.04         622.38        2267.15         213.13              5
         162.85         190.14         243.61         353.87        2599.50         424.38              4
         206.87          12.92         167.98         500.88        2661.30         456.61              4
          33.51          77.98          27.05        1122.95        2288.47         260.70              1
          80.29          92.57         204.15         743.19        2429.77         325.57              2
         387.64          42.79         449.66         412.88        2257.01         188.85              6
         276.60         287.22         188.77         485.47        2311.89         250.73              5
         360.38           3.68         731.99         262.08        2191.84         142.64              6
         108.49          87.78         646.19         505.66        2201.83         110.42              3
         389.46         238.32         629.14          53.80        2239.24         188.37              6
          62.28          70.60         643.72         570.18        2203.19         150.98              2
         153.57         149.12         142.59         807.88        2296.79         240.13              3
         203.44          76.47         437.91         454.33        2377.83         302.63              4
         200.35         104.40         392.09         435.03        2418.11         346.56              4
           1.08         163.74         528.26          43.22        2813.63         523.21              0
         144.73         146.65         546.68         270.46        2441.44         347.57              4
         257.60          57.90         381.59         623.01        2229.85         161.16              5
         287.25         132.55         138.60         676.90        2314.69         250.02              5
          29.14         205.69         454.07         321.14        2539.91         396.13              1
         350.80         221.26          13.59         708.17        2256.12         224.21              6
         221.71          17.65         389.00         173.71        2747.86         497.51              4
         110.79         251.60         431.15         557.84        2198.58         135.34              3
         148.24         439.24          47.23         634.48        2280.78         240.65              3
         456.91         129.82         307.68         442.45        2213.10         169.25              7
         166.55         659.25         189.80         166.53        2367.83         300.69              4
         266.45          37.39         430.61         421.81        2393.71         309.55              4
          44.33          49.50         295.93         759.05        2401.13         302.63              1
          16.72          48.18         375.76         902.26        2207.04         137.77              1
         434.61          42.47         197.63         412.09        2463.16         364.23              6
          33.15          10.24          62.91        1040.87        2402.79         316.52              1
         189.33           3.02          69.79         937.68        2350.12         277.49              4
         144.81         444.44         156.78          70.19        2733.75         478.22              3
         313.26         147.78         715.98          99.95        2273.00         210.62              5
         272.09         120.96         207.95         618.51        2330.46         252.05              4
         626.21           5.14         189.94         263.80        2464.88         368.79              8
           9.61          11.78         127.28         787.54        2613.74         427.10              0
         189.82          81.31          73.10         874.21        2331.54         269.67              4
         210.42          47.57           4.52         982.44        2305.00         238.36              4
          36.65          18.16         645.15         342.52        2507.51         379.96              2
