      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          63.56              2         580.61
         317.80              5         251.55
          63.56              2         195.71
         444.92              6         208.80
         211.87              4         314.51
          21.19              1         262.00
         444.92              6         359.02
         211.87              4         278.63
         211.87              4         142.57
         211.87              4         525.03
         317.80              5         468.82
          63.56              2         300.69
         593.23              7         306.97
          21.19              1         119.87
          21.19              1         247.27
          21.19              1         315.94
         444.92              6         299.65
         444.92              6         348.78
           0.00              0         450.09
          63.56              2         421.33
         127.12              3         409.15
         444.92              6         164.52
         593.23              7         296.77
         211.87              4         365.19
         127.12              3         363.36
         317.80              5         187.66
         593.23              7         382.32
         317.80              5         130.58
         211.87              4         179.22
          63.56              2         344.16
         127.12              3         258.82
         317.80              5         181.43
           0.00              0         194.99
          63.56              2         275.45
         317.80              5         329.73
          63.56              2         180.16
         444.92              6         129.72
          21.19              1         212.26
         127.12              3         131.22
         444.92              6         193.26
          21.19              1         258.40
          63.56              2         534.03
         317.80              5         326.21
         317.80              5         411.44
         127.12              3         332.24
         593.23              7         323.77
          21.19              1         383.56
         211.87              4         448.75
          21.19              1         187.92
          21.19              1         150.21
         762.73              8         137.38
         444.92              6         166.00
          63.56              2         167.03
         317.80              5         205.09
         127.12              3         503.96
         444.92              6         411.18
          63.56              2         629.66
         593.23              7         269.18
         317.80              5         198.33
         444.92              6         279.94
         127.12              3         347.73
         127.12              3         237.53
         317.80              5         155.72
          63.56              2         523.35
          63.56              2         535.73
         127.12              3         254.18
         211.87              4         518.62
         317.80              5         231.04
         444.92              6         508.95
          21.19              1         635.56
         211.87              4         421.49
          63.56              2         278.57
          21.19              1         347.20
          63.56              2         373.62
         317.80              5         355.50
          63.56              2         418.39
          21.19              1         525.00
         593.23              7         261.42
         127.12              3         212.87
         317.80              5         268.09
         127.12              3         314.19
         127.12              3         291.09
         211.87              4         353.05
         317.80              5         107.94
         444.92              6         504.15
         211.87              4         264.59
          21.19              1         311.74
         127.12              3         605.17
          63.56              2         289.06
          63.56              2         555.54
         211.87              4         169.96
          21.19              1         472.28
         211.87              4         351.34
         444.92              6         438.10
          63.56              2         431.09
         127.12              3         398.31
         211.87              4         354.14
          63.56              2         251.03
          63.56              2         274.86
          21.19              1         284.79
          21.19              1         175.63
           0.00              0         277.69
         593.23              7         341.99
         762.73              8         254.21
         211.87              4         401.67
         211.87              4         199.45
          21.19              1         296.92
         317.80              5         551.87
         444.92              6         191.10
         317.80              5         272.21
         317.80              5         404.91
         593.23              7         302.63
          21.19              1         491.68
         593.23              7         306.74
         127.12              3         335.52
         593.23              7         265.82
          21.19              1         335.85
         317.80              5          85.11
         211.87              4         300.55
         211.87              4         212.12
         317.80              5         148.56
         127.12              3         323.99
         127.12              3         181.41
         211.87              4         378.50
          63.56              2         334.66
         444.92              6         157.05
           0.00              0         370.19
          21.19              1         172.25
         317.80              5         220.21
         444.92              6         391.86
          21.19              1         308.90
         317.80              5         390.21
         127.12              3         340.52
          63.56              2         245.92
         593.23              7         372.56
         211.87              4         224.70
         444.92              6         231.59
         762.73              8         315.53
         127.12              3         311.70
          21.19              1         295.04
         211.87              4         431.76
         127.12              3         340.52
         127.12              3         231.52
         317.80              5         332.35
         211.87              4         252.21
         211.87              4         282.54
          21.19              1         177.15
         317.80              5         535.99
         211.87              4         368.14
         317.80              5         479.84
          63.56              2          93.50
         127.12              3         332.19
           0.00              0         533.22
         953.41              9         238.76
         317.80              5         535.19
         127.12              3         454.39
         444.92              6         301.72
         127.12              3         132.02
         211.87              4         205.92
          63.56              2         251.65
         317.80              5         362.29
         762.73              8         374.09
         127.12              3         497.06
         127.12              3         164.22
          21.19              1         275.85
         211.87              4         230.52
         953.41              9         198.50
          21.19              1         301.82
         762.73              8         378.47
         127.12              3         202.01
         317.80              5         231.61
         127.12              3         308.03
         211.87              4         268.66
         317.80              5         277.35
         762.73              8         178.46
         211.87              4         565.24
         127.12              3         511.10
         211.87              4         109.58
         762.73              8         303.17
         444.92              6         274.41
         762.73              8         368.04
         593.23              7         128.88
         953.41              9         105.81
         317.80              5         221.05
         444.92              6         329.04
         317.80              5         321.37
         211.87              4         320.43
         127.12              3         205.81
         211.87              4         234.35
         211.87              4         369.27
         444.92              6         412.45
         211.87              4         319.79
         444.92              6         256.50
          63.56              2         284.19
         593.23              7         266.69
         762.73              8         341.63
         127.12              3         175.38
          21.19              1         252.45
         444.92              6         383.71
          63.56              2         462.09
         593.23              7         295.05
         444.92              6         338.40
          63.56              2         305.32
           0.00              0         300.47
         953.41              9         211.38
         444.92              6         236.11
          63.56              2         687.87
         127.12              3         302.67
         127.12              3         239.17
         317.80              5         336.71
         593.23              7         344.67
         211.87              4         287.77
         127.12              3         327.56
          63.56              2         506.10
         127.12              3         198.71
         127.12              3         290.82
         317.80              5         240.90
         127.12              3         286.04
         211.87              4         252.22
         127.12              3         395.57
         211.87              4         177.39
         953.41              9          94.34
          21.19              1         407.63
         127.12              3         166.20
         211.87              4         218.32
          63.56              2         411.96
         127.12              3         364.77
         762.73              8         394.44
         593.23              7         347.93
         444.92              6         280.53
         593.23              7         278.97
          63.56              2         537.19
         444.92              6         363.22
         762.73              8         172.26
          63.56              2         341.16
         593.23              7         220.72
          63.56              2         575.58
         317.80              5         203.91
         211.87              4         355.99
          63.56              2         427.56
         317.80              5         280.83
          63.56              2         168.30
         593.23              7         376.18
           0.00              0         202.17
         444.92              6         530.78
          63.56              2         264.22
         211.87              4         335.59
         127.12              3         528.21
         444.92              6         194.55
         444.92              6         220.24
           0.00              0         292.72
         593.23              7         319.66
         762.73              8         386.06
          63.56              2         366.19
          63.56              2         421.45
         317.80              5         375.41
         444.92              6         221.38
         317.80              5         273.00
         211.87              4         265.54
         127.12              3         128.55
          63.56              2         512.62
         593.23              7         175.91
         444.92              6         299.07
         211.87              4         316.77
          21.19              1         481.59
         593.23              7         177.85
         211.87              4         228.97
          63.56              2         647.09
         317.80              5         182.20
         127.12              3         516.90
         444.92              6         479.05
         444.92              6         177.86
          63.56              2         507.68
         211.87              4         184.55
          63.56              2         383.62
         317.80              5         478.49
         211.87              4         247.76
         593.23              7         272.53
          63.56              2         155.79
         317.80              5         331.96
         593.23              7         274.12
           0.00              0         409.31
         211.87              4         192.07
         317.80              5         119.42
          63.56              2         251.90
          63.56              2         367.31
         953.41              9         332.10
