      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         232.19              3         176.72
         218.96              3         160.60
         244.28              3         359.36
         214.50              3          92.45
         246.93              3         800.05
         224.91              3         369.28
         234.02              3         348.62
         219.51              3         344.08
         246.70              3         518.13
         239.18              3         140.73
         230.80              3         355.46
         227.65              3         313.30
         214.15              3         512.00
         243.04              3         253.22
         231.59              3         595.66
         237.51              3         419.39
         218.89              3         515.37
         211.18              3         310.89
         216.63              3         260.83
         221.30              3         694.52
         222.60              3         243.25
         226.70              3         479.06
         218.80              3         510.31
         210.70              3         454.64
         231.08              3         835.47
         215.01              3         548.63
         236.36              3         431.76
         230.68              3         483.22
         213.63              3         303.56
         223.06              3         429.69
         238.02              3         606.73
         210.45              3         306.87
         211.24              3         569.92
         212.88              3         403.55
         229.11              3         608.15
         227.79              3         492.07
         216.51              3         622.36
         239.44              3         186.81
         210.67              3         479.19
         214.36              3         183.47
         247.84              3         471.29
         247.05              3         228.48
         234.61              3         513.69
         245.22              3         432.16
         218.34              3         404.12
         220.74              3         290.74
         234.24              3         650.63
         211.47              3         666.55
         224.36              3         402.48
         228.07              3         459.80
         213.44              3         768.21
         222.16              3         444.86
         235.67              3         636.03
         217.92              3         722.90
         230.50              3         404.88
         236.82              3         325.43
         240.42              3         613.29
         232.56              3         506.45
         228.84              3         663.74
         228.37              3         372.62
         227.27              3         315.79
         231.94              3         681.57
         227.92              3         396.95
         230.17              3         553.34
         240.72              3         523.70
         211.24              3         429.58
         243.99              3         488.39
         247.16              3         658.77
         211.46              3         409.15
         241.40              3         521.18
         219.84              3         362.98
         223.12              3         295.04
         230.58              3         828.29
         241.40              3         658.52
         243.74              3         424.65
         241.61              3         531.89
         233.08              3         368.33
         211.71              3         566.84
         218.37              3         827.27
         234.55              3         342.42
         235.12              3         320.56
         215.31              3         478.82
         225.84              3         557.68
         226.76              3         407.12
         220.28              3         215.97
         234.74              3         509.47
         239.81              3         591.20
         227.15              3         518.15
         212.84              3         671.34
         242.08              3         397.36
         246.59              3         590.94
         217.45              3         338.35
         222.81              3         384.33
         223.30              3         541.33
         236.63              3         803.61
         215.68              3         263.75
         245.35              3         284.55
         213.75              3         457.23
         211.57              3         419.97
         248.75              3         559.89
         237.61              3         378.53
         222.98              3         433.70
         222.56              3         190.18
         210.41              3         673.51
         213.67              3         295.00
         235.60              3         601.94
         220.75              3         653.83
         235.74              3         494.38
         211.38              3         315.70
         237.42              3         419.53
         221.61              3         457.98
         231.99              3         319.92
         245.70              3         252.00
         210.33              3         482.65
         230.61              3         472.38
         215.10              3         209.99
         211.70              3         296.08
         239.27              3         331.32
         217.02              3         236.38
         234.06              3         543.07
         233.05              3         330.40
         234.09              3         261.15
         232.20              3         256.09
         233.79              3         449.83
         220.38              3         319.72
         225.21              3         343.03
         230.69              3         216.51
         244.14              3         435.21
         247.34              3         193.53
         227.58              3         277.04
         212.03              3         589.87
         230.83              3         314.60
         217.56              3         402.06
         210.99              3         710.06
         216.54              3         277.91
         230.75              3         280.98
         212.30              3         608.84
         218.24              3         458.10
         229.65              3         748.95
         219.66              3         498.75
