    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
          47.91              1         681.01
         150.80              3         538.35
         141.53              4         452.01
         864.67              6         502.17
         138.78              4         376.88
         470.36              5         456.29
         257.11              3         686.98
         399.12              5         327.85
         277.93              5         347.29
         281.02              5         275.08
         342.89              6         349.86
         553.21              7        1028.84
         834.76              7         316.38
         624.00              5         459.13
         230.52              3         826.55
         289.31              5         453.91
         558.54              6         472.98
         210.67              4         274.93
          39.10              1         658.37
         297.95              5         927.82
         224.35              4         304.18
         141.63              2         373.07
         189.84              3         606.48
         320.65              4         322.07
         251.16              3         511.61
         637.03              7         228.17
          79.81              2         437.77
          24.32              1         462.98
         628.90              5         403.28
         281.87              5         370.59
         194.01              3         344.94
         148.10              3         513.09
         523.16              4         467.63
         291.90              5         433.08
         115.11              2         869.33
         315.72              3         278.96
         307.27              5         351.53
         259.53              3         445.83
         408.34              5         596.99
         166.29              2         499.45
         179.88              4         542.02
         430.22              4         438.82
          54.75              2         845.53
         260.44              4         455.71
          60.12              2         469.81
         854.84              8         227.80
          44.58              2         540.35
         694.54              7         341.84
         154.32              3         485.10
         168.75              3         447.68
         501.88              6         399.43
         230.85              2         511.02
         209.44              4         233.45
        1277.86              8         526.73
         289.90              4         654.41
         751.84              8         654.50
         397.41              5         493.65
         149.87              3         788.36
          68.07              2         640.93
         551.22              6         640.17
         561.72              7         541.71
          82.19              2          57.24
         166.02              2         291.41
         602.83              5         251.57
         166.32              2         854.68
         279.08              4         352.54
         208.54              4         439.97
         732.29              7         371.98
         145.38              2         554.18
         151.78              3         804.83
         492.12              3          98.04
         412.03              5         652.06
         473.06              5          89.29
         131.64              2         724.05
         667.54              8         345.33
         106.96              2         447.57
         156.33              3         344.18
         195.95              3         744.70
         582.86              6         301.62
        1127.10              8         223.05
         259.43              3         904.98
         510.86              5         391.07
         210.70              3         454.64
          86.28              2         235.09
          17.67              0         480.57
         212.06              4         581.00
         208.07              4         697.33
         195.72              4         593.90
         290.56              5         153.31
          72.48              2         237.20
         414.07              5         430.29
          35.58              1         212.24
         279.73              4         360.65
         365.36              5         214.74
          53.89              2         521.33
         417.82              4         388.39
         370.48              6         351.58
          76.82              2         406.23
          15.29              1         584.40
         333.12              2         143.23
         365.55              6         521.02
         261.63              4         520.15
          13.00              1         454.92
         306.60              5         591.69
         180.70              4         526.99
         162.41              3         149.07
         113.23              3         587.57
         373.32              4         578.63
         173.59              4         469.78
         213.63              3         303.56
         148.26              2         366.18
         809.65              7         627.51
         359.49              2         363.22
         157.96              3         181.52
         243.68              4         733.61
          42.00              1         402.85
          69.02              2         433.13
          14.16              0         408.89
         123.27              2         595.47
         345.00              5         497.35
         191.03              3         720.11
         535.39              5         428.99
         595.54              6         409.91
         161.98              3         412.41
          98.61              3         540.92
         175.19              4         342.40
         413.58              5         723.62
          77.15              2         455.80
         747.44              8         766.89
         124.96              3         583.19
         299.04              6         205.41
         649.00              6         151.72
         404.39              4         532.16
         179.21              3         632.45
         336.08              6         624.97
         119.14              2         559.95
         612.50              6         370.70
         900.46              8         769.30
         198.53              3         693.84
          68.61              2         170.84
         211.24              3         569.92
          69.95              2         429.95
         212.69              4         573.43
         286.17              4         273.93
         639.96              8         314.40
         102.60              2         533.86
         159.43              4         431.74
         787.90              6         408.24
         397.18              6         255.32
         351.94              4         163.06
         262.19              4         430.87
         526.69              5         651.86
         150.38              3         627.16
         218.77              4         276.62
         201.02              3         605.28
         174.41              4         547.20
         209.90              4         546.93
          14.80              1         190.05
         123.75              3         319.74
         138.47              3         486.70
         486.94              4         397.92
         199.39              3         545.21
        1355.18             11         224.60
         250.71              4         216.21
          66.50              2         669.25
         152.14              3         641.45
         325.28              5         871.95
        1080.97              8         285.72
         265.00              4         341.49
         497.33              6         783.31
         279.83              4         841.64
         219.99              2         484.55
         548.08              8         965.33
         119.97              3         807.73
          89.79              2         326.79
         118.16              2         344.59
         725.40              5         392.56
         385.36              5         203.84
          92.88              3         714.43
         110.30              2         460.63
        1489.62              8         834.55
         161.95              3         646.61
         155.85              3         411.20
          28.71              1         220.65
         261.97              5         469.76
         609.39              7         595.20
         325.85              4         687.43
         959.25              8         423.84
        1115.51              7        1070.73
         403.60              5         530.50
         328.97              5         589.45
         493.76              6         353.91
          20.39              1         364.88
         674.58              7         751.40
         430.50              6         250.02
         127.34              3         382.97
         383.97              5         474.27
         837.13              5         906.86
         597.27              5         501.91
         362.53              5         204.29
         755.43              6         548.42
         547.65              5         231.51
         304.28              5         867.16
         400.39              5         453.24
         402.19              4         656.72
         453.60              6         681.85
         560.05              6         342.32
         508.07              5         840.02
         238.04              4         397.57
         551.72              7         354.75
         147.60              4         633.97
         571.63              6         534.38
          62.67              1         519.16
         377.19              4         289.40
         306.60              5         523.20
          70.53              2         552.09
         167.12              4         465.36
         344.68              4         604.35
          51.36              2         553.59
          62.30              1         243.89
         744.40              8         903.94
         275.67              4         172.10
         728.55              6         535.13
         368.88              5         265.55
          49.45              2         850.14
          11.92              0         742.29
         109.07              3         496.36
         562.96              7         224.64
        1650.94              9        1104.34
         206.05              4         413.77
         279.07              4         687.42
         658.13              6         246.59
         351.68              3         481.47
         165.18              3         308.15
         108.12              2         887.99
         102.44              2         415.93
         145.39              4         708.19
         198.30              4         386.30
         160.99              3         409.60
        1484.03             10         378.42
         140.71              4         264.40
         992.32              9         729.05
         261.49              3         525.39
         148.54              3         404.52
         616.74              5        1069.10
         385.15              3         400.88
        1812.44             10         197.24
        1631.57              8         226.51
        2156.51             12         232.72
         916.21              7         306.20
          14.77              1         457.12
         119.32              3         597.61
          53.12              1         614.46
         431.84              6         649.30
         817.98              8         570.82
          16.06              1         125.29
         352.96              6         624.35
         399.44              5         432.89
         425.99              6         266.86
         757.72              8         486.49
          43.60              2         243.18
         608.70              6         753.85
          54.73              2        1015.18
         266.64              4         304.76
          69.78              2         383.76
          11.70              0         378.71
         214.36              3         183.47
        1130.53             11         312.14
         123.90              2         311.33
         175.29              3         335.18
        1282.04              9         272.65
          59.03              2         130.10
         360.23              4         449.97
         488.40              5         707.14
        1274.70              9         592.56
         565.09              8         541.93
         414.49              6         723.01
          60.60              2         227.13
         601.66              7         668.35
         251.47              5         631.60
          95.24              2         713.41
         225.05              4         561.67
         536.02              6         329.53
          58.45              2         428.81
         195.73              4         468.78
         535.66              6         263.96
         573.90              6         270.65
          60.61              1         332.73
        1187.25              8         516.44
          92.28              2         248.85
         215.19              4         499.25
         109.87              3         447.93
         466.13              5         628.77
         121.51              2         595.62
         154.33              2         405.29
         356.66              5         532.15
          91.81              2         834.73
         589.58              5         510.01
         398.57              5         431.53
         141.77              3        1048.79
         412.26              5         638.66
         824.39              7         441.26
         220.47              4         400.11
         338.95              4         311.12
         724.57              7         795.07
          96.84              2         443.88
         660.83              7         210.42
          95.82              2         594.95
          38.61              1         345.17
         455.79              4         533.47
         419.14              5         562.37
          87.31              2         464.79
         218.87              4         271.05
         192.54              3         501.19
         509.37              3         337.27
         338.35              4         848.73
          17.99              1         475.97
         486.88              5         933.05
          75.99              2         202.94
         752.91              9         600.91
         732.99              6         641.44
         333.24              5         694.75
         123.13              3         581.01
         186.93              2         417.09
         124.42              3         633.26
         459.12              6         465.85
         537.23              4         487.91
         729.39              7         572.09
          52.88              1         317.49
          64.50              2         282.51
        1235.43              8         955.01
         620.80              6        1187.72
         849.59              8         742.67
        1178.13              8         557.01
        1480.41              8         359.36
         133.53              4         210.74
        1495.86             11         431.75
         335.55              4         582.22
         237.29              4         321.38
         471.68              5         753.16
         513.61              5         303.93
          87.93              2         702.57
        1075.90              7          63.91
         142.61              2         255.94
          28.04              1         584.66
         248.42              4         315.20
          95.54              2         252.11
         152.24              3         377.07
         179.98              4         334.66
        1408.07             11         507.29
         548.58              7         457.41
         374.15              3         392.78
         228.37              4         208.52
         149.47              3         886.49
        1281.78              7         560.76
         712.57              8         790.81
         502.42              5         501.02
         604.58              5         473.61
         367.73              3         419.52
         448.47              4         392.95
         698.90              7         622.54
          74.10              2         321.93
         345.23              6         414.62
         305.40              2        1044.44
          77.13              2         799.22
         167.65              3         550.15
          25.72              0         456.91
         428.52              6         420.91
         673.59              7         412.86
        1245.04             10         494.79
         290.92              3         603.81
         329.59              3         681.52
          99.44              2         773.39
         170.69              4         486.95
         106.43              3         379.18
         160.99              3         465.15
         276.38              3         840.78
         963.29              9         653.12
         104.97              2         616.18
         200.03              3         650.20
        1057.75              6         708.63
         646.90              6         730.89
          96.86              2         748.82
         314.02              3         458.28
         307.67              6         470.65
         241.79              4         520.89
         522.57              7         226.38
         603.05              6         415.57
         509.92              7         469.64
         245.22              3         432.16
         645.22              5         789.72
         384.57              5         453.92
         327.93              5         409.52
         154.35              3         807.28
          92.45              2         720.20
         302.99              4        1234.01
         317.78              5         398.32
          47.69              2         446.54
         219.01              5         701.71
          59.92              2         329.82
         117.39              3         317.01
          91.18              2         362.89
         431.51              6         452.48
         391.05              4         210.31
         522.05              5         500.82
         567.46              6         330.99
         363.13              5         672.15
         474.22              5         404.88
         190.67              3         202.95
         603.35              7         426.14
         849.24              7         238.02
        1207.14              9         488.76
          45.58              1         362.75
        1443.02              7         525.56
         282.99              4         460.97
         890.27              8         330.12
         145.54              2         616.06
          91.97              2         247.85
         655.34              7         581.59
         197.71              2         779.45
         485.51              7         245.92
         381.27              4         698.55
         173.56              4         252.44
         418.57              5         535.57
          69.09              2         548.30
         594.32              8         399.13
         286.33              5         549.06
         630.64              6         765.96
         218.34              3         404.12
         109.43              2         714.79
         113.11              2         303.66
         345.08              4         226.95
          21.64              1         489.88
         384.02              5         467.96
         410.07              4         620.24
         428.93              6         260.43
          97.14              2         267.49
         560.89              5         392.83
         220.74              3         290.74
         611.00              7         394.14
         133.38              3         573.48
         234.24              3         650.63
        1366.03             10         381.39
         208.45              4        1104.06
         220.47              4         644.38
         474.44              4         302.93
         566.50              6         843.52
         244.89              4         352.58
         183.34              4         274.46
         507.79              5         599.63
          68.54              2         455.22
         156.78              3         435.77
         623.00              8         177.46
         790.84              8         772.57
         224.36              3         402.48
         672.10              6         742.67
         796.73              5         408.88
         405.15              6         170.57
         279.58              3         466.19
         360.12              5         499.63
         268.79              5         759.62
         629.07              5         680.97
          40.15              2         341.18
         305.72              3         369.15
         339.30              5         993.94
         629.31              8         479.82
         247.19              4         694.33
         721.77              5         331.77
         387.74              4         467.25
         307.29              4         413.77
         450.85              5         219.60
          75.29              2         482.62
         436.78              5         323.34
         257.03              5         714.78
          45.65              1         386.80
         376.77              6         273.20
        1068.44              7         498.06
          10.31              0         484.15
         453.13              3         814.86
         357.32              5         395.67
         745.09              6         295.95
         424.12              5         687.79
         194.13              3         686.73
         421.70              5         680.70
         228.07              3         459.80
         180.12              3         254.10
         428.42              5         500.90
         358.30              4         706.53
         406.78              6         238.55
         586.67              7         395.44
         382.60              5         386.56
         131.58              3         293.19
         452.74              6         636.98
         658.66              6        1267.73
         629.13              7         479.27
         350.01              6         378.98
         532.24              6         256.71
          92.17              3         573.70
         465.36              6         294.34
         109.35              2        1014.91
         297.34              5         775.11
         381.30              5         742.23
          42.49              1         459.36
         355.85              4         176.16
         262.38              5         255.63
         183.29              3         532.10
          90.01              3         269.68
         446.45              5         236.78
         419.17              4          44.65
         270.55              5         465.36
          44.76              1         469.54
         658.62              8         623.76
          28.23              1         410.53
         201.49              3         429.04
         160.48              3         459.69
         157.82              4         161.08
         706.05              4         255.28
         158.74              3         415.18
        1096.95              8         390.62
         213.44              3         768.21
         158.07              3         852.61
          42.29              1         758.81
         617.77              7         225.27
         136.38              3         895.85
         545.77              7         465.47
         679.81              6         399.61
         504.39              6         642.23
         524.22              6         526.47
         783.43              7         377.35
         222.16              3         444.86
         398.52              6         377.93
         197.96              2         300.87
         469.81              6         489.31
         164.02              3         444.66
          77.16              2         449.73
         762.26              8         495.42
         366.77              6         348.40
         261.49              3         559.04
         154.01              3         730.21
          36.47              2         532.26
         465.45              5         536.78
         487.60              3         423.62
         232.70              4         399.06
         167.68              4         526.41
         395.38              5         372.75
          50.99              2         630.34
         362.06              5         334.04
           1.22              0         373.73
         358.15              6         174.38
        1501.67             12         450.69
          76.65              1         173.13
         431.47              4         856.95
         467.63              5         652.29
         174.47              3         467.89
         171.15              4         230.19
          81.72              2        1052.50
         567.29              5         298.98
         235.67              3         636.03
         336.10              4         305.98
         602.84              6         756.07
         601.15              5         714.39
          12.37              1         418.23
         279.49              5         134.15
          53.13              1         350.99
        1045.47              6         680.58
         438.87              3         223.53
         109.68              2         485.84
         300.67              3         591.98
         364.69              4         609.55
         265.05              3         559.09
         180.55              3         530.25
         388.20              5         542.64
         185.76              4         235.24
         230.50              3         404.88
         531.82              5         444.30
        1100.16              7         362.33
         150.70              3         532.50
         977.52              6         485.52
         532.23              3         461.57
          78.44              2         419.51
         146.48              3        1152.08
         470.48              5         378.82
         290.71              4         683.20
         450.96              6         678.42
        1260.16              7         319.06
         266.77              4         250.30
         236.82              3         325.43
         610.43              5         736.50
          92.42              2        1178.55
         249.33              4         871.92
          76.35              2         404.41
         634.12              7         624.00
         158.18              3         230.03
         186.06              3         612.25
        1613.60              7         417.58
         302.45              5         313.35
         331.42              4         609.51
         488.48              5         453.08
         621.12              8         702.24
          70.76              2         746.60
         331.16              4         279.37
         149.12              3         512.00
         233.88              4         328.12
         458.60              7         576.94
         757.72              5         554.00
         310.77              6         837.12
         954.34              8         380.18
         154.05              3         821.72
         308.59              5         291.69
          83.71              2         434.85
         326.10              5         337.96
         291.49              4         369.54
         232.56              3         506.45
         254.66              2         278.55
          80.57              2         497.77
         538.48              6         146.08
           6.46              0        1083.21
         645.09              8         575.15
         504.65              6         738.07
         118.38              3         211.27
         251.74              4         321.58
         530.97              6         677.02
         288.77              5         548.34
         466.31              5         452.19
         723.68              6         592.25
         249.33              4         830.21
         658.38              6         226.58
         248.34              4         292.77
         458.13              4         685.45
         183.15              4         423.39
         103.77              3         313.83
         323.84              6         519.73
         403.73              6         242.29
         987.01              7         301.24
         275.48              4         318.45
         584.52              6         697.61
         703.95              6         347.84
         171.53              3         446.70
         222.54              4         549.29
         321.48              6         510.28
         191.72              4         268.29
         538.42              6         415.79
         123.11              2         207.44
         453.46              4         264.33
         935.32              9         318.68
         996.85              8         503.75
         821.78              4         551.35
         854.25              6         404.61
          75.25              2         345.82
         148.42              3         247.21
          77.11              2         510.03
         204.15              4         405.57
         513.08              6         783.45
          88.71              3         302.45
         570.55              6         600.27
          60.29              1         553.21
          29.14              1        1001.92
          57.11              1         539.46
         157.09              3         327.05
         579.25              8         319.67
         392.73              5         210.44
          98.77              2        1111.14
         168.94              4         421.91
         198.99              3         735.25
         117.74              3         574.95
         771.25              6         491.83
         399.98              5         292.94
         579.01              6         740.46
         874.07              8         367.82
        1176.55              9         313.81
          55.98              2         609.97
         359.66              4         366.73
         247.16              4         358.99
         105.83              2         554.66
         139.50              2         181.45
          71.01              2         238.82
         249.34              5         342.54
         349.82              4         380.62
         164.65              3         764.48
         419.62              5         218.48
         357.89              4        1080.75
         320.06              2         553.62
         103.85              3         309.34
         329.51              4         817.95
         383.46              4         505.17
         565.12              7         540.22
         300.53              5         562.19
         348.27              4         451.48
          83.79              2         236.16
         961.09              8         331.05
         512.76              8         418.60
         170.68              4         281.97
         250.18              4         791.53
         494.96              7         492.54
         396.25              4         587.79
         205.06              2         483.85
         150.13              4         763.51
         527.05              5         219.20
         682.79              5         670.55
         619.52              5         524.60
         426.56              5         281.10
        1817.77             13         401.35
         228.37              3         372.62
        1342.73             10         678.40
         206.65              4         101.86
         392.19              5         292.05
        2084.14             13         513.70
          63.33              2         405.38
         455.66              6         361.60
          97.64              3         656.72
          55.35              2         604.73
         787.99              7        1150.32
