      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         497.17              5         474.20
         148.38              3         442.25
          97.37              2         325.88
         449.08              4         408.82
         173.60              2         359.25
           9.41              0         344.64
          24.51              1         539.82
         225.72              4         274.38
         151.38              4         456.16
         552.54              7         448.91
          58.00              1         188.56
         299.55              5         350.60
          92.55              2         495.89
         150.14              3         440.19
          66.85              2         481.76
          87.88              2         551.74
         405.37              6         274.18
         195.78              4         497.46
         153.11              3         391.87
         120.30              2         773.02
         186.52              4         490.37
          73.71              2         506.01
          50.96              1         402.54
         713.11              7         222.24
         432.55              5         227.43
         180.90              3         362.48
         115.41              2         565.34
         354.41              4         334.14
          73.85              2         683.11
          49.74              1         325.81
          78.98              2         326.08
         127.23              3         102.90
         384.57              5         284.88
         316.71              5         449.48
         295.96              4         355.50
         180.29              2         463.42
         164.05              4         228.35
          98.57              3         504.46
         323.10              4         409.53
