   #Erot(W)cm-1    #Speed(m/s)
          40.04         533.72
         101.55         664.88
         182.12         562.93
         411.57         236.08
         475.04         915.40
         998.83         170.49
          51.56         617.03
         290.81         670.32
         761.47         362.69
         235.39         448.20
          89.15         658.25
         235.66         423.03
         136.67         151.73
          52.47         269.65
          85.10         740.26
          86.29        1017.89
         365.01         189.79
          10.82         668.76
         491.85         774.23
         420.43         616.71
         287.36         227.00
         473.94         805.13
         384.00         944.17
         105.32         540.91
         397.59         847.41
         813.78         527.34
        1030.71         621.85
         465.45         394.27
         615.30         336.15
         396.82         316.39
        1017.08         315.55
         233.48         342.03
         241.50         251.88
         263.23         474.45
         634.30         199.55
         282.54         792.01
         537.33         626.99
         312.69         452.59
         185.66          90.72
         703.81         360.96
         362.36         457.40
         186.23         843.86
         668.61         393.70
         546.57         344.33
         446.08         719.98
         317.34         479.63
         135.24         614.78
         418.33         369.89
          99.75         396.52
         368.15         410.16
         133.95         565.00
        1053.72         877.58
          22.20         552.94
         514.84         831.36
         158.59         367.44
        1010.40         325.27
          68.90         560.01
         393.94         676.96
         356.34         557.20
         403.61         242.66
         336.14         232.43
         199.57        1082.03
         200.40         589.21
         130.78         594.24
        1168.68         602.65
         195.34         565.93
         339.86         392.79
          99.32         420.60
          27.55         687.42
        1401.15         434.57
         205.98         345.24
         116.91         273.04
         146.06         220.33
         180.23         637.40
        1181.88         429.99
          49.30         162.82
         301.94         495.56
         291.62         557.06
         372.42         583.02
         415.44          95.55
          98.35         495.65
         393.26         185.55
         621.06         467.51
         260.07         518.03
         477.38         547.79
         200.07         266.10
          90.32         420.66
         171.39         398.25
         190.41         411.99
         139.47         414.48
         186.39         636.57
          81.12         527.77
         495.90         666.35
         242.75         443.96
          52.45         561.88
         278.51         525.47
         233.09        1061.32
         167.46         589.66
         247.42         578.14
         302.90         604.11
         160.84         699.88
         119.67         821.07
         320.53         436.72
         226.23         433.64
         293.91         505.05
          17.16         641.85
         145.38         638.48
         601.12         108.69
         594.33         353.03
          87.08         289.21
        1051.71        1089.81
         302.89         152.42
         177.52         360.31
          72.40         685.76
         535.02         717.88
          72.07         217.48
         281.24         851.90
        1244.10         452.83
         366.99         256.19
         480.69        1152.58
         318.30         658.15
         131.93         280.57
         423.45         679.60
         188.06         552.97
          65.56         355.81
         212.30         457.90
         217.22         249.04
         382.19         502.37
         180.61         284.79
         522.43         622.76
         109.40         555.55
         796.93         561.58
         153.58         221.91
         758.32         473.80
          71.15         583.06
         336.83         523.79
         506.97         390.22
         575.77         630.71
         252.45         309.16
         193.95         215.61
         274.05         816.52
         119.49         463.54
         655.36         901.84
         532.99         367.07
         409.15         453.37
         298.72         434.20
         572.22         466.03
         143.08        1048.29
         450.07         538.52
        1105.72         745.83
         214.58         750.54
         202.53         903.66
         288.86         282.29
          38.75         170.67
         283.37         477.84
         222.26         414.25
         655.84         447.10
         274.47         385.22
          28.67         523.69
         296.65         790.57
         407.62         665.80
         346.81         620.55
         305.86         142.96
         448.35         431.03
         555.98         489.59
         705.11         676.19
         617.61         463.19
         825.36         798.43
          46.37         463.56
         586.47         172.72
         159.18         425.45
          95.27         653.25
         702.58         899.66
         378.11         374.72
         279.54         584.00
         444.71         966.29
         128.30         375.17
         449.89         435.65
        1007.70         404.52
         525.75         150.77
         271.40         508.51
         123.43         520.20
         487.54         727.74
         511.72         338.13
         645.94         591.21
         711.53         545.44
         170.72         854.67
         144.70         190.82
          15.81         445.37
        1400.44         333.22
         316.54         627.23
         739.65         793.70
         588.55         635.67
          76.50         360.49
         414.11          90.41
         306.34         590.69
         309.78         407.80
           3.09          82.40
        1185.10         561.12
         729.05         352.79
          56.16         352.53
         602.05         371.32
         118.92         986.85
         164.17         868.77
          85.58         324.87
          86.74         448.56
         353.71         307.20
          77.11         516.62
         543.36         605.65
         434.84         190.03
         152.08         481.34
         821.06         443.84
         141.24         648.79
          31.56         522.46
         641.90         853.19
         356.28         302.87
         410.15         858.87
         968.55         262.87
         773.33         553.42
         242.09         376.22
         806.21         480.79
         535.64         312.18
         119.69         589.56
          28.51         611.07
          61.07         237.12
         339.08         377.17
          97.98         784.45
          73.63         387.06
         435.27         815.81
         216.69         503.49
         349.92         532.55
          97.98         238.97
         365.12         336.89
         445.53         122.96
        2112.98         356.42
         416.32         298.59
         188.08         141.56
         128.45         668.90
         399.84         898.54
          45.46         781.25
        1335.53         616.85
         172.30         341.74
         326.26         223.03
          33.11         653.53
         531.69         474.89
         117.37         371.18
         153.49         234.04
        1049.83         276.01
          86.65         615.12
          84.67         264.95
         524.00         636.78
         412.25         479.70
          45.88         312.54
         174.65         925.68
         607.20         515.63
         255.06         661.66
         182.41         417.42
         253.63         428.80
         580.96         742.60
         931.05         911.75
        1668.87         330.49
         806.61         639.05
         560.28         619.08
           3.60         834.31
         327.96         971.99
         218.57         642.66
         171.07         760.37
         756.80         488.97
        1908.61         652.15
         594.38         213.29
          52.73         465.68
         276.74         494.92
         106.06         168.73
         326.23         642.72
         307.55         923.43
         236.72         563.54
         164.82         479.94
         253.07         340.84
         140.97         505.78
         267.03         527.79
          90.27         516.20
         751.85         657.38
         506.16         359.97
         149.03         431.10
        1355.78         346.46
         321.31         508.53
         305.81         553.40
         211.31         162.76
         255.27         568.24
         181.32         755.13
         183.10         381.42
         135.87         865.46
         521.44         742.75
         134.63         691.41
         955.63         601.04
         208.79         405.95
         480.67         591.44
         145.35         424.63
          49.91         266.56
         580.62         828.66
         813.70         746.01
         569.84         513.22
         543.17         501.73
         170.31         377.10
         310.37         570.77
         564.02         169.27
         684.99         537.48
         208.87         626.52
         145.66         392.78
         321.25         361.25
          31.16         280.84
         392.80         659.83
         477.13         631.99
         221.18         570.85
         190.84         382.31
         348.93         208.55
         164.61         473.17
         414.14         449.96
         341.81         282.60
         125.26         402.92
         552.55         572.13
         279.39         329.63
          48.72         398.28
         462.02         478.23
         112.65         835.99
         192.10         741.83
         776.39         202.48
         127.00         692.41
          96.93         561.37
         491.57         612.20
         614.84         572.16
         178.67         336.53
         323.45         181.97
          81.19         690.46
          55.45         859.71
        1195.45         405.59
         230.63         413.27
          37.06         156.23
         737.53         337.31
         457.40         389.77
         432.73         533.58
          94.90         596.95
         206.48         871.82
         107.05         745.00
         106.63         545.72
        1439.23         610.50
         129.69         866.67
         127.45         242.11
           9.15        1067.89
          78.98         574.28
          72.91         614.24
        1042.02         630.09
         667.75         202.32
         156.82         640.20
          75.95         192.53
         372.69         464.76
        1644.10         111.01
         325.48         473.61
         381.82         629.42
         682.85         386.94
         306.98         918.47
          34.91         758.17
          61.95         528.72
         451.35         445.10
         319.80         592.61
          58.92         593.20
         910.62         222.26
          60.64         770.17
         420.91         325.79
         275.54         183.05
          78.55        1115.06
         102.29         427.99
         184.88         270.39
          51.47         266.30
         238.95         609.68
          31.28         612.53
         365.21         527.44
         268.68         222.04
          21.11         325.08
         179.74         301.53
         215.05         406.60
         280.48         232.56
         230.86         283.40
        1117.93         704.11
         142.52         553.81
         295.93         507.06
         310.39         630.63
         152.51         529.32
          84.67         347.43
         257.80         292.07
          19.94         638.05
         777.67         815.34
         258.65         446.75
         588.92         339.74
         168.73         684.34
          85.90         465.61
         522.49         344.30
         298.51         553.30
         260.54         486.91
         923.76         189.35
         499.14         435.68
         795.27         388.26
         194.10         430.61
         301.28         348.49
         335.39         165.04
         401.59         503.30
         329.42         651.23
         792.39         882.54
          91.03         486.50
         409.94         358.96
         332.02         259.43
         235.79         316.20
         448.96         174.10
         452.18         578.83
         420.31         395.40
         222.27         620.89
         161.54         212.13
         559.98         452.64
         348.07         337.06
         241.92         734.60
         434.70         563.47
         113.23         292.29
         357.16         825.98
          63.41         333.90
         103.31         157.49
         399.06         496.56
         806.64         183.45
         232.40         227.01
         187.38         141.47
         560.79         547.85
         160.52         469.68
         389.35         174.34
         666.45         534.74
         734.27         566.87
         191.80         349.98
         271.38         656.88
        1025.32         801.31
          78.78         736.93
         179.27         364.43
          41.07         389.19
         268.58         664.00
          82.28         692.83
         503.43         538.24
          15.03         478.69
         333.02         612.72
         655.77         159.80
         191.80         704.92
         387.73         284.71
         711.81         318.74
         425.00         208.12
         407.74         372.73
         184.87         329.95
          86.46         834.82
         884.97         437.31
         177.78         385.80
         221.57         344.67
