   #Erot(W)cm-1    #Speed(m/s)
          62.61         332.20
          26.30         474.54
          50.86         444.42
          74.88         198.27
          31.66         312.81
         370.86         226.41
         207.09         288.43
         209.73         354.16
         234.79         297.25
          78.53         187.30
          40.04         533.72
         182.12         562.93
          52.47         269.65
          99.32         420.60
         146.06         220.33
         226.23         433.64
          65.56         355.81
         109.40         555.55
         288.86         282.29
          38.75         170.67
         309.78         407.80
          85.58         324.87
          86.74         448.56
          84.67         264.95
         183.10         381.42
         208.79         405.95
         190.84         382.31
          75.95         192.53
         102.29         427.99
         179.74         301.53
         187.38         141.47
         179.27         364.43
         177.78         385.80
         221.57         344.67
         100.15         286.39
          78.15         477.76
         128.46         224.16
         166.70         377.45
         183.90         314.84
          67.53         251.81
          84.96         295.64
         453.85         215.10
         254.76         278.30
         266.02         456.51
         101.04         635.97
         116.03         351.07
         337.64         293.88
          64.22         220.92
         167.36         262.21
         135.75         234.97
          62.18         604.44
         179.26         429.40
         142.67         415.31
          40.76         486.55
          90.93         425.34
         149.37         173.02
         238.10         415.22
         120.69         342.13
