   #Erot(W)cm-1    #Speed(m/s)
         178.54         423.10
          76.94         315.64
         540.67         178.11
        1579.04         554.10
         438.74         504.63
         924.34         231.36
         157.25         600.99
         469.03         726.86
          52.41         628.63
          74.59         601.06
         950.03         597.62
         627.97         128.47
         535.73         770.13
         153.82         363.92
         104.93         550.12
          60.12         441.57
         138.11         483.44
         257.98         265.76
         269.25         788.76
         420.73         559.10
          34.70         399.07
         168.20         314.61
         133.49         554.31
          74.10         559.62
          83.03         506.91
         283.31         691.26
          73.21         366.56
         134.11         663.50
          62.61         332.20
         481.62         484.99
         158.29         878.90
         197.17         586.50
        1204.42         952.64
          81.74         909.86
          24.16         535.53
         488.68         356.09
         159.29         719.64
         218.09         490.11
         334.71         582.72
           8.70         638.05
         189.69         436.36
          76.66         564.75
         522.75         483.66
         358.10         454.76
          82.89         525.12
         379.20         893.17
         322.98         236.52
         339.69         509.22
         145.60         270.86
         671.45         368.01
          84.93         260.40
         637.78         556.37
         540.20         589.67
          26.30         474.54
         559.16         451.80
         231.33         435.75
         255.00         312.50
         237.65         202.80
         125.62         511.70
         638.54         479.58
          89.92         266.15
          50.86         444.42
         508.00         884.61
         179.66         410.25
         138.55         447.50
         457.83         196.70
         246.58         429.14
         120.55         473.38
          88.74         437.56
         248.84         608.38
         212.36         942.45
         137.93         471.06
         325.48         571.85
          33.43         672.58
         380.07         656.78
          19.42         415.32
         511.35         905.69
          77.61         699.71
          81.63         702.92
         142.11         576.50
         104.80         484.28
        1060.79         620.73
         236.70         343.74
         324.93         451.21
         349.52         588.87
         916.62         745.52
         917.88         404.13
         392.66         611.99
         440.02         530.01
         495.47         607.68
         255.38         435.07
         127.26         477.83
         470.41         541.30
        1741.46         511.88
         303.77         342.25
        1228.64         344.83
          79.89         500.93
         423.61         383.24
         225.41         512.22
          74.88         198.27
         277.58         403.62
          31.66         312.81
         270.25         512.14
         788.35         342.34
         287.13         890.18
         207.96         614.65
         401.18         228.21
         247.39         666.89
         334.24         607.41
         279.19         676.73
         318.30         392.91
         400.99         789.29
         297.38         190.28
          56.39         262.26
          98.27         718.41
         126.11        1114.45
         309.16         535.98
         526.09         268.27
         307.11         515.24
        2131.88         329.40
         370.86         226.41
         217.80         524.09
          97.53         466.92
         151.53         351.55
         177.04         673.00
         397.40         642.90
         261.17         555.13
         607.14         864.11
          43.73         521.44
         574.37         334.96
          22.89         271.02
         280.26         558.87
         401.89         537.61
         187.26         741.96
          47.48         387.10
         316.92         478.53
         542.21         293.04
         339.51         756.72
         815.22        1138.41
         185.84         521.05
         321.12         637.44
         323.10         472.04
         589.05         669.99
         245.33         454.61
         240.93         366.14
         794.05         320.87
         171.03         740.75
         250.94         211.34
         163.55         707.74
         342.19         639.01
         135.65         752.88
         514.56         385.85
         340.86         411.21
         316.85         519.57
         206.73         446.34
         383.95         771.76
         843.44         322.88
         202.61         308.55
         147.32         406.12
         293.39         434.66
         428.22         760.73
         462.85         373.42
        1079.55         485.80
         847.39         614.35
          33.65         258.42
         397.27         743.08
         357.59         517.01
         277.72         227.32
         173.93         240.08
         207.13         315.90
         241.49         509.53
         491.27         706.61
         437.62         151.83
         537.52         313.53
         343.69         533.20
         395.67         399.74
         285.30         293.62
         798.65         309.71
         472.23         601.57
         280.02         396.60
         514.63         940.58
         216.62         505.66
         329.24         731.66
         200.20         581.03
         500.55         327.87
         527.03         717.14
          94.28         178.30
         251.08         292.41
         214.31         398.01
         502.56         160.62
         542.93         477.02
          43.84         426.71
        1357.39         370.85
         818.62         746.62
         364.99         546.38
         149.02         899.56
          30.40         630.40
         383.21         222.82
         710.52         774.55
         923.56         728.28
          28.18         590.01
          14.65         412.66
         333.32         577.01
         559.65         475.96
         299.55         292.93
         315.68         255.15
         943.84         488.99
        1229.09         365.46
          63.79         562.52
         407.00         295.43
          93.53         231.67
          84.04         403.48
         299.28         348.57
         661.63         765.28
         949.71         480.17
         416.73         418.05
        1209.18         571.35
         348.93         455.82
         346.54         288.01
         207.09         288.43
          19.75         342.36
         209.73         354.16
         112.40         610.22
         182.42         764.79
         257.90         605.75
         831.07         223.89
         129.08         348.22
        1005.42         423.46
         100.62         341.83
         195.79         788.09
         623.56         300.65
         649.67         757.62
         242.65         289.78
         269.90         656.32
         164.61         652.54
         800.25         499.30
          11.26         603.31
         536.73         630.34
         245.25         588.25
         326.25         446.76
         509.04         318.90
         319.74         487.14
         375.75         998.31
          78.63         823.86
         290.07         752.10
        1203.37         487.51
         110.95         468.12
         778.81         622.56
         176.36         454.18
         457.12         508.19
         671.95         379.69
         181.47         490.55
         486.59         409.07
         198.63         243.95
         131.48         304.69
         391.53         430.82
         455.57         343.23
         885.58         622.34
         877.78         209.97
         444.22         643.58
         446.49         379.45
         197.62         505.59
         234.37         608.14
         153.54         417.76
         335.50         244.20
        1439.87         402.14
         296.07         856.65
         573.97         823.14
         151.12         482.02
         593.58         110.63
         825.72         352.70
         222.90         481.14
         377.27         824.74
         810.94         493.92
         183.02         194.29
         381.14         682.34
         694.18         509.02
         494.73         370.15
         455.62         396.22
          31.41         432.09
          49.77         378.40
         364.79         316.03
        1433.86         505.33
         282.05         436.61
         201.67         401.91
         190.67         298.21
        1012.46         448.43
         426.45         611.28
        1244.20         353.72
          79.99         327.08
         802.70         619.36
         496.03         361.94
         551.29         372.33
         377.41         811.08
         850.51         590.45
         662.13         369.72
         231.14         401.04
         644.95         313.56
         307.99         352.00
         449.57         582.96
        1049.52         543.12
        1309.97         624.55
         177.09         518.61
         476.33         838.33
         277.34         375.78
         651.62         679.26
         202.23         214.41
         230.84         715.36
         563.67         539.47
         815.81         571.33
         164.53         634.62
          62.77         289.18
         802.69         411.29
         530.69         880.92
        1092.46         561.29
          52.54         288.80
          56.58         273.47
         239.13         598.30
          87.96         430.46
         271.33         615.25
         285.19         409.79
         275.48         489.34
         252.93         573.90
         158.24         553.82
         806.35         576.10
        1136.05         674.29
         180.53         560.39
         293.04         493.57
         123.07         553.08
         360.37        1103.92
         709.87         507.93
         641.75         240.46
        1462.50        1102.91
         642.04         572.98
         534.16         247.06
         264.83         580.23
        1049.46         214.05
         403.89         690.87
          35.88         892.31
         279.10         246.19
         163.96         622.79
         476.56         335.41
         368.98         228.53
         357.66         356.40
         798.24         268.99
         819.66         274.11
         153.01         769.27
           5.47         325.96
         273.85         433.39
         485.86         561.50
          17.53         446.69
         393.59         484.25
         139.71         337.74
         265.20         625.55
         324.75         493.27
         712.09         637.22
          55.47         903.78
         388.79         555.96
         445.60         189.60
         276.76         303.01
         649.51         453.62
         289.28         766.35
         149.42         558.41
          32.23         613.32
         141.76        1445.53
         456.24         486.85
          76.67         554.79
         154.34         581.79
          98.72         260.52
         334.31         797.16
         247.12         363.66
         181.95         520.37
         112.33         397.95
         356.75         511.00
         252.16         227.20
         530.68         441.22
         184.80         414.13
         483.70         772.29
         262.24         572.59
         852.60         454.30
         562.97         470.09
         404.52         501.84
         276.70         327.02
         212.86         441.81
         124.18         983.80
         292.50         852.58
         313.08         652.52
         330.94         351.85
        1157.13         601.10
           8.17         821.48
          73.61         712.03
         616.71         379.22
         459.36         772.69
          51.38         509.94
         126.45         582.90
         153.87         492.63
        1074.72         369.78
         381.78         354.49
         400.46         332.60
         396.60         737.80
          55.89         467.69
         211.22         779.19
         166.76         436.46
         249.18         630.57
         792.66        1206.85
         656.34         331.16
          85.11         323.34
         617.02         431.50
         464.99         410.99
         855.65         272.70
         607.25         531.01
         262.32         433.21
           7.94         297.36
        2686.38         427.96
         322.46         429.55
         189.68         342.33
         734.87         242.77
         551.58         277.54
         600.74         756.78
         319.69         414.21
         492.62         450.95
         209.81         289.50
         152.12         711.62
         379.11         566.47
         139.88         446.23
         559.83         163.84
         277.50         434.39
         357.05         907.62
         588.49         371.35
         565.14         381.84
         507.73         958.73
         428.27         433.62
         551.31         275.87
         399.76         346.98
         210.96         530.84
         149.25         524.53
         153.35         368.20
         208.67         686.80
         454.07         316.73
         380.26         609.77
         162.24         343.62
         646.53         442.29
          97.01         727.15
         141.80         397.62
         337.44         471.12
        1391.20        1052.00
         480.70         756.97
         424.97         561.99
         222.81         177.49
         100.28         539.61
         981.58         102.77
         367.17         254.92
         245.86         670.56
         319.52         426.45
        1398.77         653.38
          64.60         536.68
         589.08         280.72
         687.32         363.20
         369.24         538.50
         213.13         170.36
         532.99         486.18
          33.28         716.24
         261.11         346.70
         119.87         504.09
          20.23         556.90
         234.79         297.25
         878.77         819.47
         149.46         753.62
         619.47         240.85
         516.71         718.88
         761.81         440.30
         268.21         418.05
         333.70         795.05
         257.14         368.06
         303.00         639.75
         196.58         540.35
          70.11         245.16
          78.53         187.30
         119.54         706.28
         273.16         598.13
         166.62         396.73
         891.95         168.15
         123.09         843.58
         102.19         207.12
         554.98         185.76
         201.77         348.92
         347.82         825.09
         517.03         409.48
         388.87         231.19
         732.46         504.07
         332.08         822.57
         508.39         554.13
          40.04         533.72
         125.22         436.83
         101.55         664.88
         177.42         356.48
         182.12         562.93
         644.33         535.50
         411.57         236.08
         475.04         915.40
         667.25         393.46
         998.83         170.49
         468.73        1007.09
         516.66         569.91
          51.56         617.03
         301.18         718.99
         414.91         536.99
         131.91         627.26
         721.29         198.50
         655.53         442.52
         351.29         509.92
          80.51         611.56
         290.81         670.32
         270.96         361.97
         761.47         362.69
         215.99         448.53
         235.39         448.20
         292.77         295.18
          89.15         658.25
         189.38         795.97
         235.66         423.03
         136.67         151.73
         559.41         696.71
         194.48         510.35
          94.82         355.26
          52.47         269.65
          85.10         740.26
          86.29        1017.89
         194.83         493.39
         365.01         189.79
         223.93         511.30
        1312.51         519.31
         839.18         232.98
         320.20         616.40
          10.82         668.76
         491.85         774.23
         337.34         692.26
        1136.21         578.58
          20.07         246.96
         390.31         432.74
         236.61         495.25
         650.71         534.05
         608.38         528.21
         420.43         616.71
         770.15         496.57
