 #Speed(m/s)      #Erot(cm-1)
   738.987045070925        121.931882632861     
   439.953521775959        227.363999454706     
   257.943873632150        489.195998665992     
   335.340818446173        91.7083385740613     
   530.079697019613        20.5389031364583     
   303.770524649953        100.421741327148     
   445.278116248878        101.567508193863     
   145.063588501508        765.219707413993     
   369.307735040007        1032.42240072958     
   533.273685959154        1344.33661066492     
   371.818030217124        98.4010969776427     
   265.199252897661        937.690633110287     
   216.110178944914        541.217841155802     
   518.669460405158        176.353171811477     
   137.103815007015        43.0593081793532     
   624.693015088252        52.7123668939709     
   291.329989043239        91.7486634738432     
   513.606786147803        49.0920095552063     
   401.523258517344        228.763089075758     
   416.202145301638        413.036522077270     
   188.905933876780        198.228310780393     
   441.772660984204        629.921460995458     
   305.896244783384        354.021065244920     
   320.206491272197        470.633003824186     
   430.280646365624        241.279789444686     
   785.063391388406        274.944578811960     
   485.843057921093        1524.88050858215     
   627.308207861577        277.559153228009     
   175.151108045094        371.954781878123     
   396.132847448766        211.728969123894     
   681.652936624444        209.957237064270     
   609.076532831888        594.828680472779     
   285.706007827121        125.192651301825     
   476.385268978143        58.7101146552735     
   282.531468999731        337.035522620035     
   469.953188048744        200.704637080938     
   689.158813410454        186.440908422157     
   200.647731113727        345.302984088675     
   319.531851159408        37.2446063096733     
   431.464871185620        155.188462085099     
   210.999821783547        193.712275841522     
   105.444754996377        248.112621937323     
   252.624663597644        723.873386961266     
   302.413194733028        174.468428561897     
   754.776747593951        207.673899371326     
   400.365482143709        79.4697154745316     
   438.823893292255        762.769365935503     
   234.736394191466        660.913973076006     
   639.248566101634        455.182780312503     
   217.233992908416        468.586597159362     
   478.811991056292        282.323317394316     
   268.123090726801        1039.96357705920     
   323.402371605205        83.7815345787916     
   650.889751345744        58.4775858664325     
   487.661898705687        391.169176091152     
   273.846711919595        89.1171119646347     
   362.452812569851        285.523334442537     
   379.061759894797        55.0118702557366     
   95.3609165307060        509.404099629129     
   295.211978813982        321.853777254967     
   443.171817298682        75.2514289594843     
   644.521817870797        117.430392565638     
   301.552879540787        425.042287143086     
   363.085834927933        415.392904742968     
   497.934644441438        208.525325541775     
   283.305933026085        428.045491965285     
   254.945570984537        891.479908611627     
   1004.23391557434        741.616775138701     
   288.444826459259        42.1945091195700     
   485.719274327045        677.416546010650     
   655.321186731492        469.127438697301     
   583.191039809331        139.297053390379     
   388.855781990479        373.725037870942     
   582.096161894450        37.2178266903109     
   806.660724975955        369.699713591338     
   816.507884697129        50.4137990928470     
   512.279297831054        47.1754087311460     
   131.875303227744        679.280879135625     
   342.903338935363        287.973315774858     
   265.550911268998        417.443458694375     
   818.290978381699        65.7525135684246     
   555.892570138298        241.981921509584     
   168.438619102203        78.2062038109017     
   168.913420577548        153.096208866464     
   385.737111907534        671.556637588310     
   508.452136306378        245.216058499573     
   373.991710899744        91.6548988879781     
   505.721065738830        77.3456458931002     
   545.311732528348        263.307315274645     
   522.118085175384        188.303338678033     
   776.469511070275        360.136509753838     
   512.283238031996        642.966041255089     
   673.560582237705        59.8794849973927     
   840.782029225040        207.916437742653     
   274.795049049622        44.8712119049343     
   248.284185572149        93.1479387184658     
   354.771775379291        1085.91201336225     
   569.228905030928        647.148923771098     
   369.555271672275        561.948800546962     
   475.246784506351        398.666691549446     
   554.466085550024        103.097829632857     
   372.234022345671        197.772709552471     
   872.799434233314        43.5710375705801     
   284.259299974490        508.109323322117     
   466.875306735347        216.246902120421     
   731.071769036955        882.206504566664     
   426.457006266053        525.885744971048     
   416.692956184109        558.308668412258     
   329.148831893950        108.137570366849     
   315.243130941789        811.818558980272     
   201.525632452201        569.850406697792     
   180.299692695005        244.602223255011     
   217.272468774421        237.301005831532     
   655.361936337450        95.5122711960728     
   427.213038046676        200.375410240426     
   216.880900682740        159.787086562104     
   242.383163338465        210.882503196778     
   577.431713086802        217.750740007894     
   236.607515298840        1015.86370942075     
   515.489768146200        187.313570796710     
   589.695768507862        118.898844855276     
   196.489933567102        215.653901099378     
   685.268160665807        43.9943901892937     
   461.559844903385        428.497414611557     
   749.699798544897        325.818980367814     
   368.768743354815        194.573455720314     
   814.241810009818        282.300031040571     
   278.993844631724        301.930662768325     
   288.307709766305        126.436565220104     
   326.936156069391        199.311051790087     
   485.540960748194        263.756232408906     
   510.260688450412        95.9279289590836     
   209.462925940640        129.714433366406     
   493.698897493395        48.7075555228546     
   229.314716021758        465.709192040843     
   416.225230694381        73.7991910676272     
   387.201663368093        253.886529890361     
   89.3135358050068        999.806186831381     
   467.479453579288        323.488546290590     
   304.765359423551        323.843190208415     
   399.570299078600        364.125577914521     
   128.833872766105        698.141891117706     
   202.188706555320        21.7792765121296     
   436.153471255153        1688.56555141547     
   172.667714679038        17.9955121469600     
   412.612738940260        165.783276934161     
   362.672570505389        33.9168847394953     
   1133.16095538312        97.4723261666127     
   312.758840237420        185.364129856116     
   191.808323378460        192.266860563982     
   308.634035601455        26.7494314350578     
   361.061397020565        241.339196350389     
   701.453630693962        626.416766379816     
   433.323864872445        212.285502547684     
   558.393127767133        144.308383435881     
   718.487066184644        185.730742542540     
   202.929057437185        276.003253971798     
   376.055113579140        374.277446522618     
   386.765911928427        59.4870925462063     
   297.114407486423        87.7109920166354     
   371.755761336160        224.368884458871     
   362.898404457946        145.663953116905     
   313.562514386098        83.7393753131062     
   313.571413211965        351.364284786284     
   342.715008043121        222.471859544802     
   547.743954256837        121.302885151084     
   192.061718444899        287.503599790419     
   485.231212137631        172.301114785353     
   231.790812381638        1107.20974387315     
   149.325898920498        485.582100093204     
   269.859546089234        95.7718054462460     
   592.240490606061        316.312624250789     
   573.182916755915        367.826400316499     
   683.839129727213        355.594466132317     
   541.242720095356        36.2322251611272     
   399.384279952335        1085.41409835775     
   184.084053345101        293.109661743150     
   393.687849385445        203.915168912906     
   685.212806342032        148.890386895302     
   565.020907845906        51.1352897205116     
   137.767329361055        330.911725559706     
   294.914458435683        91.0084743987616     
   516.746661433999        689.384832088602     
   269.778568275486        1038.50642131950     
   494.320207336556        296.190447457382     
   585.785343467335        98.6277004597833     
   613.230140907186        493.331819614588     
   251.383952188496        206.700676751202     
   111.399569439994        64.4015593019016     
   345.195841238571        271.964624939009     
   517.587352895625        243.234648296003     
   515.688961495137        317.346268253178     
   571.424562253076        321.190418187354     
   405.862739015535        55.0534049309502     
   638.272831347180        652.333736620047     
   355.340987125240        450.934775342950     
   283.570624964025        396.774739880073     
   468.642645253904        139.857076089882     
   297.801765334275        320.438555645410     
   838.297990447801        150.740199509690     
   202.249831448524        624.152651130198     
   301.847574645675        274.931362367186     
   372.392085510175        772.558835547505     
   394.565639020286        364.098324029088     
   404.200154449548        301.211339585589     
   582.994451784066        99.5128188118131     
   227.504854050622        263.122077149960     
   478.678981585636        1765.31792226324     
   834.563795216295        280.699993364301     
   598.841366297131        268.534477434747     
   94.1931585957652        362.575652832076     
   193.597642302158        458.539347809159     
   852.616835112663        114.385270864113     
   466.452203721899        92.0528927168915     
   658.179180704188        12.4746649177621     
   514.075807276033        352.047696074712     
   498.334073758315        368.410015380042     
   300.145504398852        221.187942005963     
   255.838352343321        304.980609041760     
   346.761807440594        119.311423122152     
   542.520425475275        76.6389093306735     
   784.844236352739        237.476714360508     
   225.144487271179        394.971257652974     
   490.414643112249        274.755358343493     
   764.260715272141        1216.96884097147     
   364.062847434564        354.028299474248     
   274.250114240943        143.097893681505     
   388.550319660499        954.178599895355     
   249.578981109860        87.4947500965310     
   640.860299782956        2694.67455765192     
   334.804792313728        129.827458722365     
