      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         124.91              2         243.42
         120.57              2         287.03
         122.17              2         743.43
         117.94              2         565.28
         120.54              2         380.45
         122.95              2         395.51
         126.28              2         695.46
         121.90              2         520.87
         123.82              2         276.86
         122.45              2         553.60
         126.95              2         659.55
         116.76              2         438.05
         123.51              2         376.59
         116.16              2         640.53
         126.49              2         482.75
         127.24              2         340.50
         126.27              2         582.81
         116.95              2         740.36
         124.43              2         509.46
         128.12              2         275.63
         132.75              2         495.64
         116.03              2         351.07
         129.33              2         189.97
         121.25              2         453.10
         133.70              2         479.47
         130.83              2         681.78
         121.66              2         446.10
         116.86              2         590.66
         120.64              2         418.34
         117.40              2         383.78
         125.44              2         748.05
