 #No_Constraint #No_Constraint      #Hard_water    #Hard_water        #Soft_ZPE      #Soft_ZPE        #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)
         470.41         541.30           877.78         209.97           315.68         255.15            84.67         264.95
        1741.46         511.88           446.49         379.45            63.79         562.52           191.93         282.75
         303.77         342.25           153.54         417.76            93.53         231.67            91.49         199.24
        1228.64         344.83           573.97         823.14            84.04         403.48           225.52         296.70
          79.89         500.93           377.27         824.74           348.93         455.82           289.04         176.40
         423.61         383.24           810.94         493.92           346.54         288.01           154.18         361.56
         225.41         512.22           455.62         396.22           207.09         288.43           266.02         456.51
         145.68         581.46           282.05         436.61            19.75         342.36           153.62         147.95
          74.88         198.27           496.03         361.94           209.73         354.16           120.69         342.13
         277.58         403.62           377.41         811.08           112.40         610.22            25.13         345.08
          31.66         312.81           850.51         590.45           129.08         348.22           246.43         102.53
         479.99         536.65           231.14         401.04           118.40         451.26           190.84         382.31
         270.25         512.14           177.09         518.61           100.62         341.83           296.85         405.39
         788.35         342.34           180.54         612.33           242.65         289.78           180.73         564.07
         287.13         890.18           202.23         214.41            11.26         603.31            26.85         301.70
         207.96         614.65           500.33         239.19           326.25         446.76           189.92         523.81
         401.18         228.21           102.68         678.70           319.74         487.14           149.52         289.54
         247.39         666.89           101.23         704.34           110.95         468.12           427.50         104.09
         334.24         607.41           446.37         473.24           175.75         531.71           122.16         204.33
         279.19         676.73           106.09         622.77           176.36         454.18           377.81         273.07
         318.30         392.91           547.38         718.11           198.63         243.95           102.64         244.53
         400.99         789.29           231.57         200.79           437.00         283.30           100.03         426.66
         297.38         190.28           281.95         750.00           131.48         304.69           103.28         361.49
          56.39         262.26           133.94         277.26           446.49         379.45            52.12         482.66
          98.27         718.41           445.32         279.47           234.37         608.14            48.81         183.81
         126.11        1114.45           445.59         633.04           153.54         417.76            59.14         250.61
         309.16         535.98           307.18         338.49           335.50         244.20           298.09          97.12
         432.39         796.63            71.93         517.34           151.12         482.02            76.26         259.04
         526.09         268.27           550.66         427.20           183.02         194.29           146.89         435.19
         307.11         515.24            26.09         391.05            49.77         378.40            79.07         168.63
        2131.88         329.40           188.35         282.34           282.05         436.61           285.81         175.19
         370.86         226.41           679.23         155.41           201.67         401.91           308.49         166.77
         217.80         524.09            94.88         423.84           190.67         298.21            46.69         244.69
          97.53         466.92           331.54         572.33            79.99         327.08            83.27         361.37
         151.53         351.55           364.09         151.55           231.14         401.04           139.58         411.39
         177.04         673.00           161.83         236.44           145.51         598.34           293.40         461.09
         397.40         642.90           343.61         894.04           307.99         352.00            35.33         316.02
         261.17         555.13           297.70         645.93           177.09         518.61           183.47         486.71
         607.14         864.11           585.55         548.89           277.34         375.78           247.71         461.76
          43.73         521.44           538.25         126.25           202.23         214.41            64.44         354.63
         574.37         334.96           242.36         243.36           420.96         324.09           304.23         289.66
          22.89         271.02           798.05        1115.58           236.57         494.68           161.27         209.72
         280.26         558.87           821.60         808.36           500.33         239.19           235.31         515.99
         401.89         537.61           453.24         457.53           280.24         276.53           180.39         202.87
         187.26         741.96           764.23         458.18            64.32         599.24           166.27         259.45
          47.48         387.10           349.50         609.12           101.23         704.34           382.21         288.92
         316.92         478.53            25.15         587.89           467.44         351.03           145.11         468.03
         542.21         293.04           527.15         635.48           106.09         622.77           437.76         272.14
         339.51         756.72           258.17        1109.48           133.94         277.26            78.66         502.37
         815.22        1138.41           270.49         445.50           445.32         279.47           276.30         119.05
         520.67         288.98           607.48         858.91           266.66         418.44           200.39         269.34
         185.84         521.05           255.25         354.65           312.38         291.00           345.63         254.55
         321.12         637.44            62.77         289.18           124.48         271.10             7.79         477.13
         323.10         472.04           530.69         880.92           222.62         150.22           351.35         159.80
         589.05         669.99          1092.46         561.29            71.93         517.34           111.77         402.94
         245.33         454.61            52.54         288.80           542.55         189.21           369.44         242.72
         662.56         597.81           285.19         409.79            60.16         355.79           277.52         211.24
         240.93         366.14           180.53         560.39           173.71         387.49           156.14         354.79
         794.05         320.87           293.04         493.57            39.89         489.39           210.33         352.67
          43.18         462.09           360.37        1103.92            26.09         391.05           208.50         439.51
         171.03         740.75           403.89         690.87           245.02         451.10            64.86         225.07
         250.94         211.34           163.96         622.79           188.35         282.34           170.65         241.36
         163.55         707.74           476.56         335.41            94.88         423.84            42.17         259.45
          98.06         550.29           368.98         228.53           364.09         151.55           110.78         193.34
         135.65         752.88           153.01         769.27           161.83         236.44           366.15         361.05
         514.56         385.85             5.47         325.96           377.71          99.78           165.41         416.21
         340.86         411.21           485.86         561.50           104.00         524.38           104.21         272.70
         316.85         519.57           393.59         484.25           461.38         176.99           387.89         287.30
         206.73         446.34           265.20         625.55           242.36         243.36           159.15         499.61
         383.95         771.76           712.09         637.22            30.43         192.45            90.41         297.11
         843.44         322.88            55.47         903.78            72.43         511.33           287.51         510.72
         202.61         308.55           388.79         555.96           439.46         164.41           346.92         343.36
         147.32         406.12           149.42         558.41           361.71         137.94           291.18         363.51
         293.39         434.66            32.23         613.32           354.20         113.29             5.58         464.39
         428.22         760.73           141.76        1445.53            25.15         587.89           147.00         226.81
         462.85         373.42            98.72         260.52           239.36         352.61           109.92         339.90
        1079.55         485.80           181.95         520.37           168.91         432.34            23.20         561.37
         847.39         614.35           252.16         227.20           255.25         354.65            18.25         495.12
          33.65         258.42           530.68         441.22           164.53         634.62           309.78         407.80
         397.27         743.08           165.30         624.88            62.77         289.18            85.58         324.87
         357.59         517.01          1157.13         601.10            52.54         288.80            86.74         448.56
         173.93         240.08           459.36         772.69            87.96         430.46           183.10         381.42
         207.13         315.90           332.25         257.47           285.19         409.79            75.95         192.53
         241.49         509.53           211.22         779.19           275.48         489.34           136.50         237.72
         491.27         706.61           166.76         436.46           293.04         493.57           187.38         141.47
         437.62         151.83           249.18         630.57           123.07         553.08           179.27         364.43
         537.52         313.53           105.18         248.84           534.16         247.06           177.78         385.80
         395.67         399.74           262.32         433.21           279.10         246.19           221.57         344.67
         798.65         309.71             7.94         297.36           368.98         228.53           233.76         113.66
         559.39         334.96           189.68         342.33             5.47         325.96            78.15         477.76
         472.23         601.57           209.81         289.50            17.53         446.69           128.46         224.16
         280.02         396.60           152.12         711.62           139.71         337.74           166.70         377.45
         514.63         940.58           277.50         434.39           265.20         625.55           183.90         314.84
         238.98         188.80           230.17         349.82            32.23         613.32           128.80         503.72
         329.24         731.66           565.14         381.84            76.67         554.79            19.78         410.55
         200.20         581.03           551.31         275.87           154.34         581.79            84.96         295.64
         500.55         327.87           210.96         530.84            98.72         260.52           453.85         215.10
         527.03         717.14           149.25         524.53           247.12         363.66           254.76         278.30
          94.28         178.30           208.67         686.80           112.33         397.95           152.64         169.94
         251.08         292.41           380.26         609.77           252.16         227.20            24.00         128.80
         214.31         398.01           646.53         442.29           184.80         414.13           201.04         289.64
         502.56         160.62           337.44         471.12           165.30         624.88           146.37         259.75
          43.84         426.71          1305.56         376.59           276.70         327.02           438.02         310.24
        1357.39         370.85           261.11         346.70           212.86         441.81            23.82         305.45
         818.62         746.62            20.23         556.90            51.38         509.94           173.56         447.00
         364.99         546.38            63.46        1039.96           153.87         492.63           134.77         566.21
         149.02         899.56           257.14         368.06           410.06         302.34            39.81         389.19
          30.40         630.40            78.53         187.30           332.25         257.47            50.39         189.74
         710.52         774.55           119.54         706.28           400.46         332.60            37.56         350.88
          28.18         590.01           273.16         598.13            55.89         467.69           101.04         635.97
          14.65         412.66           261.57         257.90           166.76         436.46           116.03         351.07
         333.32         577.01           732.46         504.07            85.11         323.34           148.82         400.13
         559.65         475.96            40.04         533.72           105.18         248.84           315.12         231.37
         299.55         292.93           101.55         664.88           191.74         294.24           195.08         233.20
         315.68         255.15           182.12         562.93           262.32         433.21            64.22         220.92
         943.84         488.99           411.57         236.08             7.94         297.36           167.36         262.21
        1229.09         365.46           475.04         915.40           189.68         342.33           151.23         318.47
          63.79         562.52           998.83         170.49           319.69         414.21
         407.00         295.43            51.56         617.03           209.81         289.50
          93.53         231.67           290.81         670.32           139.88         446.23
          84.04         403.48           761.47         362.69           277.50         434.39
         299.28         348.57           235.39         448.20           230.17         349.82
         661.63         765.28            89.15         658.25           399.76         346.98
         949.71         480.17           235.66         423.03           149.25         524.53
         416.73         418.05           136.67         151.73            35.47         346.84
         348.93         455.82            52.47         269.65           153.35         368.20
         346.54         288.01            85.10         740.26           222.81         177.49
         207.09         288.43            86.29        1017.89           367.17         254.92
          19.75         342.36           365.01         189.79            64.60         536.68
         209.73         354.16            10.82         668.76           213.13         170.36
         112.40         610.22           491.85         774.23           261.11         346.70
         182.42         764.79           420.43         616.71           119.87         504.09
         257.90         605.75           276.72         742.67            20.23         556.90
         831.07         223.89           287.36         227.00           268.21         418.05
         129.08         348.22           473.94         805.13            70.11         245.16
         118.40         451.26           384.00         944.17            78.53         187.30
        1005.42         423.46           105.32         540.91           102.19         207.12
         100.62         341.83           397.59         847.41           201.77         348.92
         195.79         788.09           309.12         264.50           388.87         231.19
         623.56         300.65           813.78         527.34           261.57         257.90
         649.67         757.62          1030.71         621.85            40.04         533.72
         242.65         289.78           465.45         394.27           125.22         436.83
         269.90         656.32           615.30         336.15           177.42         356.48
         164.61         652.54           396.82         316.39           182.12         562.93
         800.25         499.30          1017.08         315.55           411.57         236.08
          11.26         603.31           233.48         342.03            51.56         617.03
         536.73         630.34           263.23         474.45           131.91         627.26
         326.25         446.76            95.27         402.91           136.67         151.73
         509.04         318.90           634.30         199.55           194.48         510.35
         319.74         487.14           282.54         792.01            94.82         355.26
         375.75         998.31           537.33         626.99            52.47         269.65
          78.63         823.86           312.69         452.59           194.83         493.39
         290.07         752.10           185.66          90.72           365.01         189.79
        1203.37         487.51           703.81         360.96           223.93         511.30
         110.95         468.12           362.36         457.40            20.07         246.96
         778.81         622.56           186.23         843.86           236.61         495.25
         175.75         531.71           183.03         123.13           287.36         227.00
         372.24         510.22           668.61         393.70           309.12         264.50
         176.36         454.18           546.57         344.33           220.09         262.16
         457.12         508.19           446.08         719.98           131.57         598.57
         671.95         379.69           317.34         479.63           213.88         528.58
         181.47         490.55           135.24         614.78           366.11         222.28
         486.59         409.07           418.33         369.89           396.82         316.39
         198.63         243.95            99.75         396.52           233.48         342.03
         509.76         473.32           368.15         410.16            36.94         484.66
         437.00         283.30           133.95         565.00           263.23         474.45
         131.48         304.69          1053.72         877.58             2.53         118.53
         394.79         443.83            22.20         552.94           185.16         570.55
         391.53         430.82          1064.33         381.66           148.60         201.69
         455.57         343.23           158.59         367.44           390.53         398.89
         885.58         622.34          1010.40         325.27            49.17         361.49
         877.78         209.97            68.90         560.01           151.56         526.56
         444.22         643.58           393.94         676.96           293.68         393.95
         446.49         379.45           356.34         557.20            52.06         544.45
         234.37         608.14           403.61         242.66            95.27         402.91
         153.54         417.76           336.14         232.43           107.44         296.71
         335.50         244.20           199.57        1082.03            90.50         675.61
         296.07         856.65           200.40         589.21           123.76         463.48
         573.97         823.14          1168.68         602.65           272.09         180.85
         151.12         482.02           195.34         565.93           176.15         473.72
         593.58         110.63           339.86         392.79           273.98         358.37
         825.72         352.70            99.32         420.60           312.69         452.59
         222.90         481.14            27.55         687.42           185.66          90.72
         377.27         824.74          1401.15         434.57           175.53         338.74
         810.94         493.92           205.98         345.24            11.65         434.38
         183.02         194.29           116.91         273.04           363.28          72.39
         381.14         682.34           146.06         220.33           362.36         457.40
         694.18         509.02           180.23         637.40           123.08         361.80
         455.62         396.22           609.42         388.02           183.03         123.13
          49.77         378.40          1181.88         429.99           182.97         337.99
         364.79         316.03            49.30         162.82           291.86         579.85
        1433.86         505.33           301.94         495.56           317.34         479.63
         282.05         436.61           291.62         557.06           207.48         333.71
         201.67         401.91           372.42         583.02            99.75         396.52
         190.67         298.21           415.44          95.55           368.15         410.16
        1012.46         448.43           527.87         596.76           133.95         565.00
         426.45         611.28            98.35         495.65            81.75         249.54
          79.99         327.08           192.00         595.01           158.59         367.44
         802.70         619.36           393.26         185.55            68.90         560.01
         496.03         361.94           621.06         467.51           521.54         250.11
         551.29         372.33           260.07         518.03           403.61         242.66
         377.41         811.08           477.38         547.79           336.14         232.43
         850.51         590.45           200.07         266.10           459.36         227.86
         662.13         369.72            90.32         420.66            99.10         248.52
         231.14         401.04           171.39         398.25           220.48         282.95
         145.51         598.34           190.41         411.99            24.97         298.74
         644.95         313.56           139.47         414.48           182.68         489.20
         307.99         352.00           186.39         636.57           195.34         565.93
         449.57         582.96            81.12         527.77            99.32         420.60
        1049.52         543.12           219.87         352.02           205.98         345.24
        1309.97         624.55           242.75         443.96           116.91         273.04
         177.09         518.61            52.45         561.88           146.06         220.33
         476.33         838.33           278.51         525.47           241.94         445.40
         180.54         612.33           134.02         781.56           216.91         418.82
         277.34         375.78           233.09        1061.32            49.30         162.82
         651.62         679.26           167.46         589.66           301.94         495.56
         202.23         214.41           247.42         578.14           373.79         360.88
         230.84         715.36           302.90         604.11           415.44          95.55
         420.96         324.09           160.84         699.88           309.31         154.97
         152.03         709.79           119.67         821.07           144.51         434.46
         236.57         494.68           143.00         286.44            98.35         495.65
         500.33         239.19           320.53         436.72           192.00         595.01
         824.84         557.15           226.23         433.64            98.26         465.24
         102.68         678.70           293.91         505.05           211.53         426.45
         836.56         857.81            17.16         641.85           376.07         264.94
         280.24         276.53           145.38         638.48           393.26         185.55
          64.32         599.24           601.12         108.69           187.00         501.69
         101.23         704.34           594.33         353.03           260.07         518.03
         446.37         473.24            87.08         289.21           137.16         556.86
         467.44         351.03          1051.71        1089.81           200.07         266.10
         350.84         668.80           302.89         152.42            90.32         420.66
          30.03         914.42           177.52         360.31           171.39         398.25
         106.09         622.77            72.40         685.76            26.79         569.14
         345.81         527.53           535.02         717.88           190.41         411.99
         547.38         718.11            72.07         217.48            49.66         338.79
         231.57         200.79           281.24         851.90           186.36         171.05
         862.04         416.16          1244.10         452.83           139.47         414.48
         643.20        1222.13           480.69        1152.58           301.28         323.75
         281.95         750.00           318.30         658.15            81.12         527.77
         133.94         277.26           131.93         280.57           219.87         352.02
         623.72        1055.67           423.45         679.60           242.75         443.96
         445.32         279.47           188.06         552.97            52.45         561.88
         266.66         418.44            65.56         355.81           167.46         589.66
         445.59         633.04           212.30         457.90           247.42         578.14
         312.38         291.00           217.22         249.04           143.00         286.44
         124.48         271.10           382.19         502.37           364.61         388.78
         222.62         150.22           180.61         284.79           177.03         479.72
         415.99         412.33           522.43         622.76           226.23         433.64
         307.18         338.49           109.40         555.55           293.91         505.05
          71.93         517.34           153.58         221.91            17.16         641.85
         542.55         189.21           758.32         473.80            93.40         217.63
          60.16         355.79            71.15         583.06           115.40         436.11
         550.66         427.20           336.83         523.79           601.12         108.69
         173.71         387.49           506.97         390.22            18.24         514.99
        1247.55         284.36           575.77         630.71           335.60         311.56
          39.89         489.39           252.45         309.16            47.01         281.71
         358.21         517.83           193.95         215.61           174.04         304.19
          26.09         391.05           354.34         168.79            87.08         289.21
          59.08        1201.57            90.94         697.25           144.06         348.36
         304.36         815.00           302.46         215.23           302.89         152.42
         245.02         451.10           371.86         674.36            99.53         230.74
         188.35         282.34           666.63         459.72           177.52         360.31
         230.90         668.02           949.93         933.07            72.40         685.76
         679.23         155.41            13.03         358.62            72.07         217.48
