 #No_Constraint #No_Constraint      #Hard_water    #Hard_water        #Soft_ZPE      #Soft_ZPE        #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)
         260.07         518.03            88.49         312.73           285.83         324.09
         477.38         547.79           243.62         632.70           453.03         332.53
         137.16         556.86           444.97         298.83           125.49         578.79
         200.07         266.10           201.62         311.00           214.16         482.33
         292.21         918.84           333.85         555.77           145.23         226.60
         520.34         508.50           412.59         262.05           108.86         307.19
          90.32         420.66            16.85         333.01           518.66         201.53
         723.69         402.69           220.18         367.41            93.90         390.07
         171.39         398.25           656.12         596.30           186.97         208.63
          26.79         569.14           872.89         541.92           317.22         187.94
        1104.34        1024.15           234.65         329.12           174.69         183.98
         579.56         592.65           185.98         107.56           160.52         290.43
         262.07         624.58           163.33         476.32            21.73         283.72
         190.41         411.99           348.00         343.38           120.16         461.83
          49.66         338.79           216.87         309.21           226.90         276.67
         864.67         465.68            89.30         543.74           281.79         240.95
          57.18         814.67           334.77         503.66            93.12         352.60
         186.36         171.05           309.45         593.50           153.43         200.82
         871.20         104.94            41.24         372.03           206.04         255.03
           8.27         863.58           223.27         257.86           163.47         598.75
         216.78        1104.79            90.16         745.85           218.59         407.70
         814.34         434.11           503.42         386.00           131.71         286.68
         139.47         414.48           645.77         384.96            53.51         376.37
         301.28         323.75           148.26         876.89           188.63         230.43
         186.39         636.57           504.03         456.61           162.55         459.56
         368.21         220.88          1017.28         504.40           317.75         492.38
          81.12         527.77            77.75         311.56            88.49         312.73
         915.70         616.56           630.88         169.35           206.84         294.22
         219.87         352.02          1135.98         434.08           205.92         184.02
        1697.92         472.64           835.24         464.46            89.36         510.74
         242.75         443.96           573.77         759.98           225.37         409.48
         608.52         688.53            76.86         595.62           231.72          95.19
          52.45         561.88           215.97         450.84           201.62         311.00
         278.51         525.47           242.72         470.63           106.13         355.50
         134.02         781.56           252.71         291.74           356.60         398.18
         233.09        1061.32           149.77         340.19           222.02         463.66
         167.46         589.66            55.12         448.28           143.40         315.48
         247.42         578.14           220.78         612.53           127.19         469.22
         302.90         604.11           134.23         257.15           234.65         329.12
         746.01         543.07           424.24         196.77           287.57         254.84
         160.84         699.88           430.17         221.86           338.91         243.12
         556.18         647.15           229.59         189.68           125.14         203.54
         119.67         821.07           464.50         262.60           185.98         107.56
         143.00         286.44           345.73         603.26            98.80         362.28
         364.61         388.78           713.58         607.94           181.44         212.60
         320.53         436.72           574.53         174.86           163.33         476.32
         787.11         573.16           575.29         401.99           158.33         543.45
         460.69         873.15           584.77         495.46           348.00         343.38
         404.47         727.69           131.28         369.44           157.82         317.40
         177.03         479.72           499.46         423.50            13.85         557.02
         226.23         433.64           207.09         975.71           271.25         163.08
         293.91         505.05           393.37         227.22           141.67         264.65
          17.16         641.85           444.78         195.68           216.87         309.21
         548.21         419.21           288.75         297.11            89.30         543.74
         438.31         504.18           571.41         605.61            41.24         372.03
          93.40         217.63           179.03         760.14           223.27         257.86
         115.40         436.11           218.03         396.60           108.93         252.59
         145.38         638.48           581.37         189.88            77.75         311.56
         601.12         108.69           490.18         293.00           238.18         274.14
          18.24         514.99           325.52         302.20            63.37         495.43
         335.60         311.56           110.70         516.01           377.37         256.27
         594.33         353.03           548.61         564.21            76.86         595.62
          47.01         281.71           372.15         473.13            81.77         405.04
         174.04         304.19           572.72         407.04           542.70         173.22
          87.08         289.21          1416.36         569.17           215.97         450.84
         144.06         348.36          1221.47         576.53           252.71         291.74
        1051.71        1089.81           838.56         455.42           261.64         481.49
         302.89         152.42           300.34         366.71           149.77         340.19
          99.53         230.74           932.13         293.08            12.46         401.96
         177.52         360.31          1180.15         270.12           448.43         257.45
          72.40         685.76            87.12         412.50            55.12         448.28
         245.04        1112.46           716.64         165.19           220.78         612.53
         535.02         717.88             6.45         476.87           134.23         257.15
         134.37         604.45           302.92         222.15           189.41         495.92
          72.07         217.48           481.63         322.70           424.24         196.77
         144.73         370.34           123.13         275.48           187.03         349.91
         785.37         179.23           151.06         618.64            45.25         534.63
         426.00         348.87           361.96         670.81           135.31         441.56
         141.71         398.47           187.07         725.76           229.59         189.68
         281.24         851.90            53.21         524.14           165.85         257.16
         216.67         377.98           608.08         397.69            74.33         119.48
        1244.10         452.83           272.94         489.96           165.04         173.32
         480.69        1152.58             1.25         476.92           101.70         338.12
         166.11         542.90           781.73         401.22            83.58         397.46
         318.30         658.15           170.49         584.64           464.50         262.60
         146.00         255.38           228.11         503.30           286.83         334.48
         888.67         226.58           390.70         756.96           124.29         415.40
         131.93         280.57           237.60         255.85            94.24         478.01
         423.45         679.60           377.11         287.36            19.81         230.72
         387.90         662.07           244.90         759.29            35.27         515.32
        1195.94        1210.39           392.70         805.01            16.54         371.25
         912.30         642.66           794.70         506.30           131.28         369.44
         188.06         552.97           810.27         436.93            26.21         456.97
         385.54         468.51           494.61         688.71           421.88          77.39
          65.56         355.81           842.89         698.18           292.19         209.43
         199.30         485.43           614.32         716.27           341.95         448.51
         222.55         597.96           400.08         772.87           298.19         325.32
         212.30         457.90           137.17         540.74           134.27         492.56
         217.22         249.04           795.12         806.64           120.35         360.15
         382.19         502.37            81.28         376.14            21.76         415.03
         762.47         299.61           669.78         382.96           284.03         421.28
         180.61         284.79           428.84         527.03           152.59         450.97
         363.02         462.76            46.23         666.81           252.30         562.79
         522.43         622.76           379.04         315.37           344.57         371.95
         109.40         555.55          1279.42         518.46           393.37         227.22
         459.40         394.87           466.41         337.72           444.78         195.68
         531.38         356.92           482.81         584.20           288.75         297.11
         323.00         573.22           308.88         381.37           218.03         396.60
         153.58         221.91            66.51         391.21           266.44         508.00
         321.20         755.17           839.83         274.73           371.67         159.14
         758.32         473.80           128.09         297.17           325.52         302.20
          71.15         583.06           769.93         268.82           110.70         516.01
         336.83         523.79           241.04         725.40            84.24         581.15
         506.97         390.22           328.41         512.37           179.05         371.48
         575.77         630.71           289.07         669.86           317.86         504.65
         700.60         749.68           443.77         495.16           185.45         200.50
         113.66         617.33           293.74         560.13           322.29         427.63
         252.45         309.16           363.12         381.30           236.63         358.92
         193.95         215.61           284.26         573.45            90.69         599.96
         554.66         304.15           126.26         436.04           300.34         366.71
         526.76         454.80           268.47         385.05           486.01         177.21
         558.08         687.64          1195.93         245.49           195.48         540.36
         232.91         445.27           251.98         366.02           175.31         353.62
         354.34         168.79           375.47         269.15           386.50         277.48
         526.31         683.36           116.13         461.79            87.12         412.50
          90.94         697.25           621.05         676.44             6.45         476.87
         283.67         652.62           492.60         298.21           302.92         222.15
         302.46         215.23           506.02         776.39            56.51         611.08
         371.86         674.36           121.20         359.57            89.19         633.36
         666.63         459.72           156.62         414.71           123.13         275.48
         295.26         513.03            53.24         570.88           417.06         480.18
         478.09         407.80           464.26         324.17            53.21         524.14
         949.93         933.07           466.26         166.66           272.94         489.96
          13.03         358.62           442.07         555.54           430.60         287.81
          80.71         673.44           668.92         546.56             1.25         476.92
         375.45         459.37           519.38         942.93            62.15         440.33
         278.23         273.19           327.27         823.44            31.27         633.61
         167.84         382.91           169.98        1061.76           228.11         503.30
         664.45         466.76          1202.42         309.09           237.60         255.85
          28.46         406.99           161.49         854.96           377.11         287.36
          22.42         676.92           273.53         376.44             9.30         613.01
         110.11        1059.34            69.18         786.55           161.75         452.71
         811.30         802.31           727.21         332.68           160.25         290.30
          34.47         418.98           107.32         514.51           276.53         561.77
         291.29         553.65           100.25         215.98           137.17         540.74
          32.43         338.91           378.89         343.75           360.77         327.46
         602.92         519.55           857.64         344.30           368.72         213.02
         170.42         655.57           761.93         657.52            81.28         376.14
         276.72         137.77           636.33         199.61            46.23         666.81
           8.70         582.01           226.61         315.20           379.04         315.37
         460.63         277.12            55.73         198.73           160.93         190.63
          33.86         598.92            77.01         719.76           259.88         365.78
          67.85         181.87           486.68         784.87           189.11          91.08
         365.10         213.66            58.77         148.82            89.54         483.91
         243.97         635.27           198.11         251.98            66.51         391.21
         600.28         446.99           584.80         398.37           230.91         113.33
         616.24         478.80           349.30         469.66           128.09         297.17
         319.33         426.27          1064.59         636.37           179.33         578.93
         317.03         454.77           111.37        1078.52            84.82         615.44
          84.59         267.43           260.31         430.31           127.98         400.68
         224.16         558.27           517.92         370.21           126.26         436.04
         167.65         488.10           935.42         301.27           170.48         201.87
         754.71         372.03           602.20         401.47           268.47         385.05
         109.12         944.65          1140.19         576.47           251.98         366.02
         608.98         445.23           406.70         817.00           242.00         236.64
         126.30        1086.15           383.68         276.28           375.47         269.15
         897.75         338.01           199.74         412.93           285.43         471.10
         702.15         500.54           186.58         619.98           149.43         336.64
         792.89         608.56           439.09         595.36           309.52         232.15
         716.94         640.39           549.40         225.53           116.13         461.79
         923.88         596.27           396.51         446.00           492.60         298.21
         464.68         232.20           349.76         521.91           119.35         141.92
         147.67         156.02           113.30         502.67           121.20         359.57
         409.88         478.38           384.08         604.28           134.75         169.91
         340.64         245.23           167.97         520.45            89.58         303.38
         844.06         559.26           351.03         408.25           198.99         518.32
         137.13         256.70           584.20         515.14           156.62         414.71
         709.72         515.14           907.51         159.63            53.24         570.88
         740.35         261.24           266.98         379.53           466.26         166.66
         123.83         228.26           950.21         353.32           199.13         404.37
         272.31         124.40          1161.13         905.35           211.84         598.99
         247.57         467.91           379.45         345.49           296.57         414.06
         172.47         472.04            43.06         126.28           220.20         283.75
         217.99         802.24           403.63         416.47           172.25         221.19
          75.48         282.80          1133.23         125.49            87.99         518.80
         129.70         465.73           167.98         143.76           273.53         376.44
         516.85         871.80           378.41         656.08           204.86         438.39
         453.44         381.74           284.95         491.67           107.32         514.51
         577.45         352.40           590.14         600.12           100.25         215.98
         376.33         562.86          2798.24         290.76           300.88         386.72
         184.63         389.58           415.36         449.74           333.99         308.67
         469.49         407.47           168.94         403.34           145.02         601.15
         887.82         358.50           130.93         421.15            73.54         395.52
         113.34        1042.02           223.33         388.41           191.95         526.79
         422.27         404.54           282.32         597.11            31.84         410.52
         256.47         243.56           167.98         736.52           203.16         584.80
        1171.01         910.81           141.12         640.46            55.73         198.73
        1051.33         491.45           772.28         376.85           370.36         339.00
         287.67         293.39            94.68         400.82           213.14         520.64
        1360.98         418.06           241.85         921.41           257.27         469.85
         507.68         253.39           168.35         606.95            58.77         148.82
         218.05         491.69           112.23         281.65           198.11         251.98
          11.54         459.55           278.91         379.82           107.17         596.30
         332.30         240.78           242.23         534.34           290.13         216.38
         396.74         501.58           521.14         473.55           363.56         185.00
         523.77         472.59          1061.35         495.06           161.51         267.38
         271.99         145.25           270.31         403.91           228.70         311.10
         244.88         860.31           299.37         474.82           120.60         606.17
         631.36         419.68           594.30         810.09           275.46         254.75
         413.36         320.66           672.52         357.65            31.69         458.13
         389.42         409.72           598.02         297.18           383.68         276.28
          42.02         328.05           364.30         370.30           199.74         412.93
          28.07         501.81           844.50         367.84           198.81         260.21
         228.83         370.84           265.75         387.51            28.57         329.82
          59.23         673.53           378.42         692.21           142.94         228.64
         610.46         428.97           460.85         329.54           312.32         154.91
         448.57         755.79           363.04         351.85           113.30         502.67
        1285.71         525.72            75.55         218.01           169.07         356.22
         214.29         675.49           275.78         382.17            64.39         407.05
         656.49         957.99           358.47         388.77           201.70         273.24
         831.38         343.93           455.57         250.35           351.03         408.25
          60.19         622.93           430.88         488.92           322.84         241.50
         531.65         568.05           534.26         596.86           410.51         250.71
         340.46         556.49            70.92         464.73           445.40         261.13
         176.64         425.84            91.88         777.73            67.03         694.69
         578.15         928.07           640.12         632.79           266.98         379.53
         384.98         393.46            53.57         547.53           121.84         345.13
         926.80         172.45           836.34         298.71            43.06         126.28
         329.47         109.23           222.55         374.82            25.91         522.64
        1123.40         397.19           660.59         499.52           167.98         143.76
         336.38         448.35            14.15         291.31           284.95         491.67
        1080.82         394.86            27.05         558.11           168.94         403.34
         544.22         572.52           417.88         585.77           138.44         524.67
         705.45         344.69           341.99         670.04            74.54         213.48
         263.01         802.76           952.54         711.97           440.07         316.50
         565.94         709.10          1566.41         377.52           130.93         421.15
         422.23         362.16           610.03         305.23            74.66         448.12
          71.67         253.97           266.78         741.66           399.58         336.98
         498.05         557.39           180.25         372.75           275.31         576.54
         419.90         544.25           269.50         554.46           141.12         640.46
         156.44         722.76           629.35         614.55           183.39         190.91
         706.88         897.10            44.72         511.01            41.44         686.95
         136.13         669.84           222.22         322.75            94.68         400.82
         337.80         493.48            59.86        1111.94           112.23         281.65
          95.82         672.34           338.76         373.84           242.23         534.34
         255.83         551.61            78.15         440.02           130.50         316.72
         151.25         466.78           682.71         354.06           190.16         393.07
         463.67         579.25            32.70         381.59            80.36         288.87
         396.89         435.16           279.94         184.50           204.17         521.75
         317.10         561.98            95.93         171.59           347.92         343.44
          77.47         418.55           393.05         488.52           293.25         366.86
         513.57         325.16           142.78         296.67           270.31         403.91
         457.73         352.50           497.77         548.39           272.27         247.56
         103.01         925.64           145.56         416.87           116.34         342.68
         327.51         355.39           144.54         721.12           299.37         474.82
          92.13         747.79           255.99         815.31           348.54         433.97
         123.97         585.90           366.35         621.35           169.95         557.70
          50.83         432.29           525.00         626.60           364.30         370.30
          81.77         671.91           371.63         675.93           265.75         387.51
         192.60         768.62          1278.96         287.99           144.38         640.64
        1306.74         324.35           264.58         452.21           205.52         206.34
         583.96         263.74           531.89         480.47            22.08         472.01
         725.79         651.66           431.41         130.63           262.98         495.06
         253.64         485.06           179.70         324.94            75.55         218.01
         183.27         805.57            13.86         297.65           275.78         382.17
         430.53         277.60          1053.52         436.11           153.64         237.47
        1476.23         511.06           248.76         330.30           358.47         388.77
         676.23         814.74           894.33         174.74           455.57         250.35
        1846.64         810.92            91.29         684.43            29.19         365.02
          68.37         532.47            75.52         289.44            49.37         352.01
         526.49         523.63            91.57         193.54           229.64         245.99
         106.20         416.65           105.56         176.04            70.92         464.73
         109.29         506.39           142.16         326.98           326.72         197.70
         538.85         687.35           355.34         346.60            55.42         598.69
          49.80         705.62           166.75         803.88           386.83         364.09
        1086.43         737.28           332.85         389.50            53.57         547.53
         168.82         354.60           188.87         447.15           394.74         423.66
         170.43         567.44           534.64         955.57           101.35         419.93
         404.54         408.63          1094.85         328.13           222.55         374.82
         483.05         177.45           388.66         676.80            14.15         291.31
         553.18         429.38           114.66         376.08            81.03         180.05
         749.56         326.35           626.55         392.32           141.11         271.87
         692.85         112.39           398.72         308.28           232.93         265.48
         581.42         622.96           387.12         267.57           350.62         452.31
         291.11         481.50           112.25         432.05            85.04         376.35
         573.75         372.73          1854.23         249.57            77.00         588.43
          76.70         484.42           234.87         301.29           230.98         252.37
          63.17         822.17            40.35         423.85            50.74         141.29
         351.88         403.72           239.34         629.62           180.25         372.75
          71.88         605.87           394.01         338.62           204.61         235.29
         305.97         394.03           337.20         388.05           138.74         398.90
         218.52         860.67           727.61         548.99           116.14         267.68
         297.21         180.15           393.91         324.00           181.25         188.33
          84.75        1094.92           409.05         123.75            96.04         221.13
         196.00         664.84           536.57         116.66           103.31         374.86
         466.36         602.53           403.77         638.14           173.73         348.72
         601.87         868.70           134.13         294.19            49.28         175.66
         276.14         346.39           399.07         398.36            44.72         511.01
         325.42         388.42           409.89         399.38           185.89         239.73
         216.87         599.52           448.94         596.55           222.22         322.75
         905.61         514.55             6.01         437.64           338.76         373.84
         362.72         718.60           589.28         394.53            93.21         640.63
         340.03         816.27           320.69         409.59            32.70         381.59
         117.77         393.13           430.07         258.08           194.08         332.16
         473.11         916.14           566.46         610.28           279.94         184.50
         310.12         690.57           565.35         162.74            43.94         544.59
         268.90         356.86           210.76         280.69            95.93         171.59
         449.25         189.63           728.60         383.73           168.70         400.29
         131.34         357.04           731.25         456.53           142.78         296.67
         354.46         935.33           275.84         293.22            73.58         679.96
         210.33         164.12           459.69         631.38           221.46         517.53
         311.33         356.16          1050.75         526.23           338.55         300.25
         217.86         755.21          1124.28         306.53            35.78         682.57
         557.84         226.49           168.43         449.17           253.64         358.41
         475.94         360.23            63.35         253.68           136.38         388.38
          13.05         361.05            90.36         337.67           145.56         416.87
         146.90         544.82           465.17         808.47           121.51         521.61
         104.84         316.04           922.93         747.60           192.20         450.16
         171.61         658.76           286.49         825.43            32.74         682.05
         193.69         423.01           549.03         476.22            54.19         481.68
         575.64         607.78           205.31         644.75           266.13         344.77
         420.78         456.01           385.65         196.24           294.25         263.99
         535.10         169.72           407.87         328.83           264.58         452.21
         161.56         227.17          1869.07         675.32           118.49         472.54
         191.15         185.98           282.31         331.90           117.30         480.49
         227.08         583.04           608.49         878.14            82.67         692.47
         287.88         388.51            36.37         809.56            59.77         326.33
         141.47         685.51           195.16         196.07            24.66         796.56
          72.64         515.20            60.18         641.23           190.45         378.64
          42.10         563.26           470.63         188.23           276.56         227.16
         916.92         402.65           550.88         633.63           431.41         130.63
         244.90         420.36           333.32        1099.03           179.70         324.94
         121.05         700.08           428.84          86.10            13.86         297.65
         384.54         319.07           349.59         558.71            66.92         515.64
         202.60         280.94           858.52         368.90           195.28         451.80
         136.12         267.30           246.19         778.36           248.76         330.30
         475.67         165.89           383.27         162.79           220.81         266.82
         142.66         293.04           267.65         322.39            75.52         289.44
         554.84         716.89           818.44         371.47           214.49         445.03
           5.96         230.34            57.53         516.35            91.57         193.54
         312.67         378.86           115.42         494.72           217.84         333.82
         165.33         759.28          1172.28         426.11            79.31         305.03
         362.23         944.47           148.87         406.93            53.60         259.97
         196.96         418.41           258.40         849.01            83.07         217.73
         485.79         396.00           356.41         803.90            68.48         291.58
          73.51         821.21           359.44         466.49           105.56         176.04
         255.17         392.81           380.16         738.81           121.05         656.19
         315.63         398.48           324.07         529.59           142.16         326.98
         299.43         334.69           120.32          99.35           355.34         346.60
         294.66         460.29           476.95         578.82           190.31         251.69
         334.38         717.31            33.49         336.71           208.06         543.24
          56.60         731.20           994.08         380.71            61.25         596.29
         248.82         914.40           671.25         273.68           332.85         389.50
         359.68         521.67           323.72         531.84           238.71         598.74
         222.86         935.40            71.25         468.63           330.54         229.36
         622.84         323.79            69.95         569.29           303.14         375.13
         897.42         346.73           424.57         437.49           188.87         447.15
        1145.52         420.34           485.62         790.46           222.68         439.48
          51.10         697.57           194.42         604.78           114.66         376.08
         534.44         649.05            98.08         524.76           398.72         308.28
        1260.68         357.17           185.24         556.02           244.52         364.98
         909.08         513.07           348.52         434.69           387.12         267.57
         308.08         396.93           102.51         395.23           144.90         421.72
         980.77         205.66           280.96         386.95           112.25         432.05
         261.85         244.69           212.21         166.53           118.06         634.26
         253.70         209.55            65.43         620.19           113.31         373.47
         593.47         331.86            51.16         811.58           237.88         398.66
         225.70         608.85           177.23         356.36           170.80         446.17
         296.63         600.07           275.19         282.11           234.87         301.29
         176.43         278.99           493.82         521.64            40.35         423.85
         714.19         692.33           431.55         876.08           212.89         611.14
          41.54         490.30           642.31         741.99           184.92         351.02
         610.93         672.93            52.49         466.55           337.20         388.05
         159.45         566.48           754.58         613.36           401.78         290.56
        1598.87         236.55           623.52         623.63           145.59         233.62
         152.41         339.16           560.13         227.67           229.54         358.34
         454.37         932.86           663.13         546.94           195.64         128.68
         568.64         647.44           355.75         326.48           536.57         116.66
         184.71         605.97           464.81         542.98           134.13         294.19
         266.69         637.66            73.97         788.82           399.07         398.36
         262.01         502.15           961.73         442.76             6.01         437.64
         482.00         597.58            70.25         865.59           320.69         409.59
         242.18         779.12           301.05         524.92            84.99         294.43
         639.29         617.71            38.87         298.89           430.07         258.08
         564.98         562.76           157.22         296.97           565.35         162.74
         312.94         380.18           607.77         330.76            39.74         321.61
         396.95         813.63           319.53         701.80            83.84         269.94
         377.94         624.38           221.76         696.03           275.84         293.22
         406.21         647.18           301.53         292.45            80.76         249.36
         518.73         978.59            80.37         503.39            74.70         546.59
          50.08         665.28           693.82         341.73           128.51         615.65
         274.42         489.37           748.10         391.54            12.05         379.20
         310.76         153.91           337.78         302.22           168.43         449.17
         272.01         262.30           166.03         252.81            63.35         253.68
          64.48         476.08           206.14         495.93            49.71         533.61
          83.06        1012.84           812.27         614.10           178.58         335.89
         377.28         530.75           675.89         303.15            77.06         304.80
          39.33         363.27           331.96         279.04           385.65         196.24
         231.69         827.39          1080.74         547.71           157.96         462.06
         298.53         323.20           299.38         373.37           112.33         508.27
         156.30         857.87           994.91         163.75           407.87         328.83
         562.13         511.48           593.22         102.43           108.20         237.64
          90.76         703.02           368.21         650.44           187.79         589.97
         180.36         216.35          1375.22         221.27           340.34         318.98
         415.76         337.20           667.39         165.29            67.05         377.85
         427.01        1000.61           508.58         437.60            46.80         476.82
         110.19         470.88            43.27         412.72           282.31         331.90
         355.88         438.47            57.04         376.12           311.22         309.16
         297.87         447.02           774.72         521.87            93.02         290.65
         268.76         326.38           698.88         419.73           428.92         214.32
          21.37         429.21           470.09         654.54           171.13         579.58
         581.23         353.90            63.63         374.48           219.06         336.76
         330.67         395.60           129.69         526.61           195.16         196.07
         489.87         203.80           769.44         629.21            20.11         326.92
         300.83         922.55           559.76         682.58            97.57         236.26
         337.66         779.69           254.62         474.83            60.18         641.23
         386.70         788.79           246.24         242.27           154.13         514.85
         329.82         263.90           886.75         307.53           470.63         188.23
         400.97         220.36           282.02         452.52           243.73         367.40
         373.53         688.93           991.59         613.67           181.88         283.10
         409.24         363.76           269.35         728.42           165.37         557.14
         161.64         644.53           370.39         411.11           428.84          86.10
         351.45         334.96           387.08         481.11           548.36         171.74
         434.75         391.77           160.59         820.63           294.01         409.18
         218.92         250.32            71.51         174.72           142.37         269.41
          56.83         223.24            89.72         944.13           383.27         162.79
         610.42         187.70           432.00         300.48            40.87         365.22
         330.90         609.49           532.82         681.44           267.65         322.39
         271.21         624.02            33.29         235.35            57.53         516.35
         712.55         322.00           292.43         208.61           115.42         494.72
         327.24         535.94           258.70         662.61           237.14         231.46
         601.70         261.70           179.06         250.88           271.51         247.61
          83.18         140.75           182.61         546.37           148.87         406.93
         157.04         728.19           209.82         708.09            95.66         271.50
         397.19         253.52           192.09         878.67            44.38          41.20
         182.72         619.90           880.45         407.36           188.68         625.47
         315.89         260.85           232.99         352.28            40.79         245.46
         969.58         658.09           175.52         466.55           247.13         127.26
         592.32         888.69           127.64         310.36           137.88         517.71
         707.53         457.11           238.71         241.14           120.32          99.35
        1003.53         452.66           655.12         595.25           111.41         334.47
         738.66         200.37           518.03         742.39           180.75         542.48
         435.20         395.02           594.52         398.27            33.49         336.71
         273.78         516.11           826.40         595.54           398.79         245.66
         890.43         469.49           274.92         450.17           108.56         339.79
        1241.23         457.45           270.24         313.22           338.54         318.85
         602.11         252.88           391.01         481.00           168.71         534.42
         356.85         618.33          1995.93         397.02             7.12         388.74
        1858.79         308.03           243.00         569.07            71.25         468.63
         593.41         858.23           230.38         401.20            26.33         319.01
         325.22         359.83           482.06         625.43           226.32         461.93
         159.08         984.91           614.64         322.00           190.61         523.25
         142.19         452.80            37.35         384.24            69.95         569.29
         789.44         925.12           447.97         525.80           126.22         223.17
         708.33         390.01           661.56         222.15           147.73         402.65
        1003.42         191.42            51.18         572.82           212.86         521.89
         850.92          93.63           368.28         260.97           161.07         260.79
         660.27         772.46           320.59         402.24           194.42         604.78
         158.31         406.06           103.57         639.72            98.08         524.76
         485.55         211.43           172.65         167.34           318.55         269.45
         237.66         782.53           270.43         338.98           176.70         398.23
          56.34         464.56            21.27         414.83           348.52         434.69
         250.59         257.46           284.55         585.93           102.51         395.23
         164.46         896.01           106.32         430.79           265.21         446.72
         213.93         568.01           427.87         620.73           212.21         166.53
         516.45         745.14           321.07         401.27            65.43         620.19
         116.05         476.11           804.78         298.17            80.27         371.69
         386.94         522.51           330.45         469.42           177.23         356.36
         596.67         212.20          1176.67         438.81           275.19         282.11
         313.74         465.78           291.10         412.91            52.49         466.55
         279.22         527.78           112.34         569.54           123.50         531.02
         230.24         305.90           172.18         676.29           231.78         266.36
         292.05         219.02           350.24         378.95           355.75         326.48
         211.44         463.19           359.85         156.87           178.12         379.71
