      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
          30.43              1         192.45
          72.43              2         511.33
         439.46              5         164.41
         361.71              5         137.94
         453.24              4         457.53
         354.20              6         113.29
          25.15              1         587.89
         527.15              5         635.48
         239.36              3         352.61
         168.91              4         432.34
         389.45              4         529.64
         401.73              5         380.12
         255.25              3         354.65
         563.67              5         539.47
         164.53              4         634.62
          62.77              1         289.18
          52.54              2         288.80
          87.96              2         430.46
         271.33              3         615.25
         285.19              5         409.79
         275.48              4         489.34
         252.93              4         573.90
         158.24              3         553.82
         180.53              4         560.39
         293.04              4         493.57
         123.07              2         553.08
         709.87              6         507.93
         641.75              5         240.46
         534.16              4         247.06
         264.83              4         580.23
          35.88              1         892.31
         279.10              5         246.19
         521.40              6         260.50
         163.96              3         622.79
         476.56              5         335.41
         368.98              5         228.53
         357.66              6         356.40
         798.24              8         268.99
         153.01              3         769.27
           5.47              0         325.96
          17.53              1         446.69
         393.59              6         484.25
         139.71              3         337.74
         265.20              5         625.55
         324.75              4         493.27
         388.79              4         555.96
         276.76              4         303.01
         289.28              4         766.35
         149.42              2         558.41
          32.23              1         613.32
         456.24              7         486.85
          76.67              2         554.79
         154.34              3         581.79
          98.72              2         260.52
         334.31              5         797.16
         247.12              4         363.66
         181.95              3         520.37
         112.33              2         397.95
         356.75              4         511.00
         252.16              4         227.20
         530.68              6         441.22
         184.80              2         414.13
         262.24              3         572.59
         165.30              3         624.88
         562.97              6         470.09
         276.70              4         327.02
         212.86              4         441.81
         313.08              4         652.52
         330.94              4         351.85
           8.17              1         821.48
          73.61              2         712.03
         616.71              7         379.22
          51.38              2         509.94
         126.45              2         582.90
         153.87              2         492.63
         410.06              6         302.34
         332.25              5         257.47
         574.04              6         483.38
         381.78              5         354.49
         259.28              4         571.17
         400.46              4         332.60
          55.89              2         467.69
         211.22              4         779.19
         166.76              2         436.46
         249.18              4         630.57
         656.34              5         331.16
          85.11              2         323.34
         105.18              2         248.84
         464.99              6         410.99
         191.74              2         294.24
         607.25              5         531.01
         262.32              3         433.21
           7.94              0         297.36
         322.46              3         429.55
         189.68              3         342.33
         734.87              5         242.77
         551.58              6         277.54
         319.69              5         414.21
         492.62              7         450.95
         209.81              4         289.50
         379.11              5         566.47
