 #Erot(HCl)cm-1             #J    #Speed(m/s)
          81.56              2         523.72
          58.24              2         535.66
         112.40              3         254.07
         204.97              4         518.88
         293.37              5         231.40
         406.34              6         508.91
          14.62              1         636.02
         185.94              4         421.53
          82.73              2         278.62
          32.90              1         347.36
          52.13              2         373.74
         378.54              5         355.60
          61.88              2         418.73
          10.96              1         524.44
         494.37              7         261.97
         100.38              3         212.67
         327.40              5         268.23
         157.30              3         314.56
         136.94              3         290.73
         223.78              4         352.70
         280.86              5         107.75
         493.31              6         503.75
         224.24              4         264.78
          16.00              1         312.09
          99.03              3         605.21
          66.39              2         289.64
          88.99              2         555.27
         166.24              3         170.33
           9.74              0         472.40
         224.12              4         351.78
         437.51              6         438.46
          54.55              2         431.03
         166.39              3         397.90
         170.15              4         353.77
          62.36              2         250.76
          80.23              2         274.90
          15.25              1         284.81
          12.65              1         176.24
           4.98              0         277.80
         668.36              7         341.85
         890.52              8         254.40
         207.75              4         401.11
         217.47              4         199.67
          30.96              1         296.60
         283.31              5         551.56
         412.44              6         191.15
         409.45              5         272.23
         352.24              5         405.45
         569.46              7         302.25
          29.46              1         491.73
         623.95              7         306.76
         146.55              3         335.45
         461.36              7         266.06
          25.84              1         335.80
         326.19              5          85.16
         170.19              4         300.54
         202.06              4         212.17
         299.40              5         148.60
         113.95              3         324.06
          95.20              2         181.70
         148.60              4         378.66
          56.64              2         334.83
         388.40              6         157.62
           2.30              0         370.25
          12.10              1         172.26
         282.87              5         220.31
         405.42              6         391.85
          19.78              1         309.26
         290.43              5         390.21
          81.81              3         340.74
          47.03              1         246.25
         652.63              7         372.59
         156.66              4         225.45
         374.30              6         231.68
         699.70              8         315.46
         110.55              3         311.60
          12.97              1         295.32
         148.67              3         432.02
          99.85              3         340.51
         116.39              3         231.32
         308.11              5         332.59
         170.96              4         252.35
         242.72              4         282.95
          25.84              1         177.47
         267.41              5         535.83
         241.08              4         367.87
         399.41              5         479.52
          43.84              2          93.24
          73.95              3         332.36
           2.58              0         532.68
         793.87              9         238.01
         255.14              5         535.04
         147.14              3         454.40
         342.09              6         301.42
          92.34              3         132.62
         218.34              4         206.40
          40.43              1         251.34
         337.95              5         362.16
         672.49              8         374.56
         125.02              3         496.91
          97.85              3         164.33
          35.67              1         275.38
         233.37              4         230.66
        1012.93              9         198.46
          27.58              1         301.93
          98.52              3         201.83
         268.89              5         232.23
          99.36              3         308.71
         193.48              4         268.72
         268.29              5         277.17
         784.45              8         178.67
         239.21              4         564.54
          90.97              3         510.99
         165.53              4         109.54
         758.90              8         303.18
         419.47              6         274.19
         705.06              8         368.14
         613.14              7         128.38
         844.87              9         106.40
         281.21              5         221.37
         416.62              6         329.28
         315.25              5         321.62
         220.38              4         319.79
         114.36              3         205.77
         203.60              4         234.49
         261.67              4         369.17
         400.35              6         412.94
         227.59              4         319.06
         406.72              6         256.32
          72.92              2         284.34
         588.98              7         266.57
         764.47              8         341.51
         104.58              3         175.75
          34.55              1         252.59
         445.60              6         383.99
          81.30              2         462.78
         512.84              7         295.17
         424.18              6         338.16
          50.55              2         305.14
           6.02              0         300.46
         394.59              6         235.65
          88.47              2         687.51
          99.04              3         302.93
          95.59              3         239.28
         320.30              5         336.27
         700.06              7         344.63
         185.11              4         287.89
         591.39              8         433.40
         134.77              3         327.50
          44.30              2         506.42
         120.91              3         199.04
         156.43              3         291.35
         340.75              5         241.15
         111.93              3         286.07
         185.24              4         252.02
         120.02              3         395.42
         156.17              4         177.88
         992.22              9          93.77
          30.64              1         407.80
          83.20              3         166.47
         188.04              4         218.23
          38.55              2         411.40
         422.45              7         377.47
         109.10              3         364.63
         831.14              8         395.12
         637.82              7         347.62
         450.19              6         280.85
         587.07              7         278.71
          63.63              2         537.65
         449.02              6         363.09
         637.97              7         172.58
          49.35              2         341.37
         633.65              7         220.77
          80.32              2         575.62
         275.78              5         203.96
         188.48              4         355.78
          54.10              2         427.39
         275.64              5         280.38
          66.05              2         168.32
         539.19              7         376.45
           3.27              0         202.32
         492.88              6         530.85
          42.76              1         263.92
         173.07              4         336.17
         107.19              3         528.28
         381.39              6         194.36
         443.90              6         219.71
           1.01              0         292.59
         637.93              7         319.40
         679.36              8         386.11
          59.90              2         366.37
          67.59              2         421.60
         244.18              5         375.93
         417.30              6         221.15
         268.86              5         273.32
         228.81              4         265.61
         127.41              3         128.98
          48.71              2         513.30
         619.73              7         176.09
         411.55              6         299.02
         215.22              4         316.63
         415.37              5         512.89
          28.91              1         481.57
         450.13              7         178.60
         254.06              4         229.08
          52.15              2         647.28
         335.10              5         183.14
         166.47              3         516.51
         407.75              6         478.51
         388.57              5         178.25
          45.43              2         507.82
         159.30              4         184.59
          77.60              2         384.10
         371.25              5         478.05
         170.42              4         247.83
         526.17              7         272.59
          52.86              2         155.86
         260.66              5         331.97
         587.01              7         274.12
           2.30              0         409.87
         206.67              4         191.66
         320.34              5         119.10
          69.84              2         252.12
          65.04              2         367.65
        1032.76              9         333.12
         317.76              5         195.23
          86.35              3         204.85
         997.86             10         352.91
          85.54              3         151.09
         684.88              8         262.52
         363.83              5         293.35
         677.29              7         224.67
          10.02              1         331.05
         135.32              3         292.07
         163.52              3         272.35
         721.69              7         139.12
          83.65              2         461.20
          94.55              3         504.93
         324.73              5         268.50
         410.69              6         311.78
         114.82              3         225.57
         681.81              7         160.72
           5.21              0         344.74
          35.55              1         347.53
         149.67              3         320.79
         333.70              5         303.71
        1075.85              9         107.98
          58.27              2         306.75
          66.06              2         305.67
          44.40              2         321.90
         457.56              6         350.82
         854.37              9         141.44
         105.91              3         312.29
         248.62              4         390.61
          78.45              2         467.66
         235.03              4         190.83
         110.36              3         468.99
         107.78              3         144.33
         388.13              5         578.32
         116.77              3         209.13
         823.41              9         237.52
          89.05              2         492.02
         443.80              6         232.81
          59.25              2         297.56
          98.85              3         360.44
         150.86              3         415.96
         380.85              6         255.97
          17.54              1         568.14
           0.37              0         130.18
         187.98              4         323.92
          19.90              1         243.21
          38.77              1         507.23
          18.71              1         119.08
         120.70              3         338.51
          51.15              2         298.19
         250.55              5         169.87
          68.93              2         131.47
         368.70              6         297.66
          89.98              2         219.87
          52.10              2         212.79
         362.84              6         523.54
           8.68              0         376.48
         147.90              3         213.74
         285.66              4         305.57
           5.69              0         303.38
          70.08              2         153.97
         120.87              3         417.91
         117.74              3         165.45
          93.40              3         136.91
         178.25              4         268.78
         110.24              3         619.03
         212.76              4         517.12
          67.56              2         437.36
         364.19              6         218.74
          86.32              2         234.56
         375.98              5         430.57
         180.98              4         272.40
         594.82              7         463.16
         371.97              6         379.58
         324.09              5         134.79
           1.64              0         266.08
         305.86              5         312.19
         582.43              7         151.20
          25.06              1         385.97
         467.99              6         213.84
         416.78              6         434.08
         172.93              4         296.15
         147.20              3         400.82
          17.10              1         128.80
         109.51              3         242.80
         309.67              5         253.73
         218.41              4         250.76
          88.70              2         316.99
         135.96              3         348.29
         119.88              3         426.57
         111.31              3         357.09
         304.85              5         316.08
          75.40              2         375.46
         110.25              3         158.87
          28.58              1         262.72
         210.71              4         214.73
         587.26              7         194.41
          68.46              2         203.36
          18.37              1         447.28
         540.95              7         540.96
         145.47              3         459.25
         207.00              4         242.34
         459.59              6         259.34
         272.84              5         275.59
         555.84              7         188.06
        1011.86              9         308.93
         161.23              4         323.00
         336.24              5         294.76
         150.77              3         351.86
         105.58              3         355.20
         161.46              3         322.98
         480.18              7         398.34
           3.29              0         144.36
         198.36              4         311.52
          94.97              3         162.43
         462.45              6         483.83
         416.13              6         348.42
          34.97              1         272.51
          81.52              2         394.04
         703.28              9         370.08
        1035.62             10         201.29
         347.78              5         252.12
          89.36              2         324.81
          82.85              2         293.05
         506.23              7         284.13
          13.38              1         224.71
         217.89              4         179.49
          33.39              1         376.33
          58.52              2         151.69
         187.86              4         296.02
          15.12              1         371.69
          30.72              1         194.64
         107.65              3         391.82
         117.33              3         148.09
         186.95              4         211.12
          89.48              3         346.19
          85.63              3         259.88
         194.74              4         274.79
         105.05              2         202.50
         508.88              7         125.67
          75.51              2         312.49
         590.27              8         298.14
         186.13              4         179.20
         191.79              4         205.80
           9.67              0         371.34
         759.13              8         323.01
          20.12              1         215.79
         248.45              4         380.31
          13.53              1         105.90
         159.70              3         224.78
         393.87              6         161.61
          19.64              1         225.49
         125.27              3         227.35
           4.12              0         214.88
         145.61              3         341.24
         522.70              7         229.45
          29.73              1         293.70
          17.87              1         193.37
         139.99              3         164.97
         387.63              6         138.73
          68.79              2         274.86
          65.27              2         419.33
          82.59              2         438.45
         757.73              8         267.07
         442.85              7         156.11
          15.23              1         350.35
         326.39              5         372.71
         266.38              5         433.25
         200.13              4         274.50
          31.22              1          92.98
         105.70              3         247.09
          78.78              2         526.07
         872.24              9         248.82
         158.46              3         190.99
         240.62              4         160.12
         289.07              5         427.87
         438.78              6         217.17
         317.60              5         261.72
         151.95              3         233.01
         172.19              4         245.15
         499.88              6         288.79
           5.35              0         141.73
         374.70              5         482.93
           5.00              0         404.06
         194.96              4         146.69
          47.96              2         301.42
         405.28              6         259.45
          44.61              2         624.80
         784.32              8         270.04
         195.50              4         262.95
          62.09              2          98.19
         192.02              4         472.32
         304.77              5         363.57
         529.62              7         230.93
         256.20              4         447.73
          43.36              2         116.15
         314.19              5         314.89
         118.11              3         587.08
          69.43              2         340.23
         376.30              6         123.12
          51.29              2         223.45
         436.41              5         463.59
         243.22              5         349.58
         294.47              4         296.76
         165.25              4         239.80
          11.65              1         259.49
          85.98              3         407.76
         110.55              2         220.78
         327.83              5         440.72
          67.99              2         279.87
          31.33              1         196.13
         127.83              3         286.46
         548.97              7         213.20
         186.99              4         257.69
           4.37              0         379.55
         133.36              3         249.33
         284.24              5         284.75
          49.18              2         188.93
         195.93              4         467.53
         437.01              6         295.89
         245.31              5         283.78
         185.02              4         537.52
         304.78              5         125.20
         177.38              3         218.96
         317.97              5         166.62
         112.15              3         174.06
         100.63              3         333.33
          39.91              1          86.94
         117.18              3         466.95
         377.68              6         268.37
           8.36              0         220.16
          63.27              2         194.94
         142.01              3         470.31
         196.35              4         497.04
         239.32              4         344.22
          17.96              1         182.33
         503.66              6         189.46
          62.14              2         319.98
         152.32              3         380.88
         190.36              4         302.27
          31.07              1         175.98
          77.26              2         181.51
         133.83              3         303.75
         294.10              5         173.58
         226.71              4         167.71
         162.05              3         557.90
         219.01              4         276.17
         390.51              6         494.68
         949.08              9         196.63
         507.57              7         322.69
         126.84              3         392.87
         553.42              7         192.43
         225.18              4         174.45
         170.75              4         202.17
          32.35              1         431.91
         194.83              4         122.02
           7.29              0         398.59
           2.35              0         559.61
          76.27              2         298.41
         973.43              9         188.09
         363.91              5         254.72
          75.35              2         207.46
          53.23              2         476.41
         868.90              9         202.03
          97.94              2         344.67
          57.93              2         312.33
          91.74              2         243.63
         209.70              4         187.26
         299.62              5         633.97
         373.12              6         418.98
         275.28              5         149.98
         194.25              4         229.75
         146.64              3         231.12
         708.90              8         362.12
         210.56              4         207.99
         167.20              3         349.07
         190.18              4         329.23
          80.09              2         147.89
         216.34              5         250.43
         177.05              4         463.21
         482.32              6         319.81
         139.48              3         607.23
         499.34              6         399.87
         112.92              3         497.56
         267.46              5         303.79
         261.54              4         297.05
          60.22              2         225.38
         673.07              7         236.36
         512.41              6         427.56
          34.34              1         337.93
         532.24              7         137.38
         489.09              6         380.48
         487.42              7         236.17
         930.04              9         179.46
           3.59              0         405.59
         416.95              6         424.77
          85.55              3         160.43
         189.09              4         446.36
         218.53              4         309.06
          38.08              2         300.79
         478.50              6         251.39
         108.13              3         556.18
         186.98              4         346.11
           5.54              0         153.56
